user_id,title,short_description,long_description,title_trans,short_description_trans,long_description_trans,technical assistance?,feasibility study?,purpose code,Difficulty level,Non-natural disaster,activity code1,activity code2,activity code3,activity code4,activity code5,activity code6,activity code7,activity code8,activity code9
40818398,Public sector financial management Compact activity,PUBLIC SECTOR FINANCIAL MANAGEMENT COMPACT ACTIVITY,Public sector financial management. Millennium Challenge Corporation Country Compact.  The Millennium Challenge Account (MCA) is a Presidential initiative to reduce poverty through economic growth in poor countries. The MCA provides assistance only to countries that have already created the conditions for growth by ruling justly investing in their people and encouraging economic freedom with a particular emphasis on anti-corruption.,Public sector financial management Compact activity,PUBLIC SECTOR FINANCIAL MANAGEMENT COMPACT ACTIVITY,Public sector financial management. Millennium Challenge Corporation Country Compact.  The Millennium Challenge Account (MCA) is a Presidential initiative to reduce poverty through economic growth in poor countries. The MCA provides assistance only to countries that have already created the conditions for growth by ruling justly investing in their people and encouraging economic freedom with a particular emphasis on anti-corruption.,,,15100,4,,15120.02,15110.01,15120.04,,,,,,
40818398,EDUCATION MANAGEMENT PROJECT,PUBLIC SECTOR FINANCIAL MGMT: EDUC.,TO ENHANCE THE CAPACITY OF THE DEPARTMENT OF STATE FOR EDUCATION TO MONITOR ACTIVITIES IN THE EDUCATION SECTOR AND MANAGE ITS HUMAN RESOURCES SUSTAINABLY.,EDUCATION MANAGEMENT PROJECT,PUBLIC SECTOR FINANCIAL MGMT: EDUC.,TO ENHANCE THE CAPACITY OF THE DEPARTMENT OF STATE FOR EDUCATION TO MONITOR ACTIVITIES IN THE EDUCATION SECTOR AND MANAGE ITS HUMAN RESOURCES SUSTAINABLY.,,,11110,3,,11110.03,15120.01,,,,,,,
40818398,CROSS-CUTTING PROGRAMS,PUBLIC SECTOR FINANCIAL MGT: CROSS-CUTTING PROGRAMS,Cross-Cutting Programs Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,CROSS-CUTTING PROGRAMS,PUBLIC SECTOR FINANCIAL MGT: CROSS-CUTTING PROGRAMS,Cross-Cutting Programs Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,,,15100,4,,15150.05,15140.04,15120.04,,,,,,
40818398,IMPROVED GOVERNANCE AND REINFORCED DEMOCRACY,PUBLIC SECTOR FINANCIAL MGT: IMPROVE GOV. & REINFORCED DEMOCRACY,Improved governance and reinforced democracy Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,IMPROVED GOVERNANCE AND REINFORCED DEMOCRACY,PUBLIC SECTOR FINANCIAL MGT: IMPROVE GOV. & REINFORCED DEMOCRACY,Improved governance and reinforced democracy Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,,,15100,4,,15150.05,15140.04,15120.04,,,,,,
40818398,INCREASED SUPPORT FOR THE DEMOCRATIC SYSTEM,PUBLIC SECTOR FINANCIAL MGT: INCREASE SUPPORT FOR THE DEMOCRATIC SYSTEM,Increased Support for the Democratic System Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,INCREASED SUPPORT FOR THE DEMOCRATIC SYSTEM,PUBLIC SECTOR FINANCIAL MGT: INCREASE SUPPORT FOR THE DEMOCRATIC SYSTEM,Increased Support for the Democratic System Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,,,15100,4,,15150.05,15140.04,15120.04,,,,,,
40818398,STRENGTHENED INSTITUTIONS OF DEMOCRACY,PUBLIC SECTOR FINANCIAL MGT: STRENGTHENED INSTITUTIONS OF DEMOCRACY,Strengthened Institutions of Democracy Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,STRENGTHENED INSTITUTIONS OF DEMOCRACY,PUBLIC SECTOR FINANCIAL MGT: STRENGTHENED INSTITUTIONS OF DEMOCRACY,Strengthened Institutions of Democracy Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and accountable government institutions encouraged,,,15100,4,,15150.05,15140.04,15120.04,,,,,,
40818398,MITIGATION - SOCIAL IMPACTS - TRANSITION TO MARKET-BASE DEMOCRACIES,PUBLIC SECTOR FINANCIAL MGT: TRANSITION TO MARKET-BASE DEMOCRACIES,Mitigation of Adverse Social Impacts of the Transition to Market-Based Democracies Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and a,MITIGATION - SOCIAL IMPACTS - TRANSITION TO MARKET-BASE DEMOCRACIES,PUBLIC SECTOR FINANCIAL MGT: TRANSITION TO MARKET-BASE DEMOCRACIES,Mitigation of Adverse Social Impacts of the Transition to Market-Based Democracies Democracy / Governance Democracy / Governance Anti-Corruption/Govt Transparancy & Accountability 2:  Democracy and good governance strengthened 2.4:  More transparent and a,,,15100,4,,15150.05,15140.04,15120.04,,,,,,
40818398,,PUBLIC SECTOR IMPROVEMENT FACILITY,"THE GOAL OF THE PUBLIC SECTOR IMPROVEMENT FACILITY (PSIF) IS TO IMPROVE THE EFFICIENCY AND EFFECTIVENESS OF SAMOA'S PUBLIC SERVICE TO SUPPORT SAMOA'S NATIONAL DEVELOPMENT PRIORITIES. THE PURPOSE OF THE PSIF IS TOSTRENGTHEN COOPERATION AND COLLABORATION BETWEEN PUBLIC SERVICE AGENCIES (AND BETWEEN THEM, THE PRIVATE SECTOR AND CIVIL SOCIETY) , IN IDENTIFYING AND ADDRESSING CRITICAL CONSTRAINTS WITHIN THE GOS PUBLIC SECTOR TO EFFECTIVE SERVICE DELIVERY. THE PSIF IS A FLEXIBLE AND RESPONSIVE MECHANISM THAT WILL SUPPORT A PROGRAM OF PUBLIC SECTOR REFORM ACTIVITIES THAT IMPROVE THE EFFICIENCY AND EFFECTIVENESS OF THE PUBLIC SECTOR AND STRENGTHEN CAPACITY TO IDENTIFY AND ADDRESS CRITICAL CONSTRAINTS TO EFFECTIVE SERVICE DELIVERY. THE PSIF WILL BUILD UPON THE BENEFITS ACHIEVED UNDER THE RANGE OF INSTITUTIONAL STRENGTHENING PROJECTS (ISPS) WHICH HAVE BEEN FUNDED BY AUSTRALIA AND NEW ZEALAND AND TO RESPOND TO IMMEDIATE/EMERGING PRIORITIES WITHIN THE PUBLIC SECTOR. THE FACILITY COMMENCED IN MARCH 2005 AND WILL EXTEND OV",,PUBLIC SECTOR IMPROVEMENT FACILITY,"THE GOAL OF THE PUBLIC SECTOR IMPROVEMENT FACILITY (PSIF) IS TO IMPROVE THE EFFICIENCY AND EFFECTIVENESS OF SAMOA'S PUBLIC SERVICE TO SUPPORT SAMOA'S NATIONAL DEVELOPMENT PRIORITIES. THE PURPOSE OF THE PSIF IS TOSTRENGTHEN COOPERATION AND COLLABORATION BETWEEN PUBLIC SERVICE AGENCIES (AND BETWEEN THEM, THE PRIVATE SECTOR AND CIVIL SOCIETY) , IN IDENTIFYING AND ADDRESSING CRITICAL CONSTRAINTS WITHIN THE GOS PUBLIC SECTOR TO EFFECTIVE SERVICE DELIVERY. THE PSIF IS A FLEXIBLE AND RESPONSIVE MECHANISM THAT WILL SUPPORT A PROGRAM OF PUBLIC SECTOR REFORM ACTIVITIES THAT IMPROVE THE EFFICIENCY AND EFFECTIVENESS OF THE PUBLIC SECTOR AND STRENGTHEN CAPACITY TO IDENTIFY AND ADDRESS CRITICAL CONSTRAINTS TO EFFECTIVE SERVICE DELIVERY. THE PSIF WILL BUILD UPON THE BENEFITS ACHIEVED UNDER THE RANGE OF INSTITUTIONAL STRENGTHENING PROJECTS (ISPS) WHICH HAVE BEEN FUNDED BY AUSTRALIA AND NEW ZEALAND AND TO RESPOND TO IMMEDIATE/EMERGING PRIORITIES WITHIN THE PUBLIC SECTOR. THE FACILITY COMMENCED IN MARCH 2005 AND WILL EXTEND OV",,,15140,4,,15120.02,15140.04,,,,,,,
40818398,Public Sector Linkages Program,PUBLIC SECTOR LINKAGES PROGRAM,"The Asia Public Sector Linkages Program aims to improve public sector capacity for governance and management for nationally determined development outcomes in selected partner Asian countries. PSLP offers departments and agencies of Australian federal, st",Public Sector Linkages Program,PUBLIC SECTOR LINKAGES PROGRAM,"The Asia Public Sector Linkages Program aims to improve public sector capacity for governance and management for nationally determined development outcomes in selected partner Asian countries. PSLP offers departments and agencies of Australian federal, st",,,15140,3,,15140.03,,,,,,,,
40818398,PUBLIC SECTOR LINKAGES PROGRAM (PSLP),PUBLIC SECTOR LINKAGES PROGRAM (PSLP),"THIS ACTIVITY WILL BE UNDERTAKEN DURING THE 2004-08 PHILIPPINES COUNTRY PROGRAM STRATEGY PERIOD. THE ACTIVITY WILL FACILITATE COLLABORATION BETWEEN AUSAID, OTHER AUSTRALIAN GOVERNMENT DEPARTMENTS AND AGENCIES AND THEIR PHILIPPINES COUNTERPARTS ON SMALL-SC",PUBLIC SECTOR LINKAGES PROGRAM (PSLP),PUBLIC SECTOR LINKAGES PROGRAM (PSLP),"THIS ACTIVITY WILL BE UNDERTAKEN DURING THE 2004-08 PHILIPPINES COUNTRY PROGRAM STRATEGY PERIOD. THE ACTIVITY WILL FACILITATE COLLABORATION BETWEEN AUSAID, OTHER AUSTRALIAN GOVERNMENT DEPARTMENTS AND AGENCIES AND THEIR PHILIPPINES COUNTERPARTS ON SMALL-SC",,,15110,3,,15110.01,,,,,,,,
40818398,Public Sector Management,PUBLIC SECTOR MANAGEMENT,Contribution to the Government of Kenya s Public Financial Management (PFM) Reform programme and Public Service Reform (PSR) programme.,Public Sector Management,PUBLIC SECTOR MANAGEMENT,Contribution to the Government of Kenya s Public Financial Management (PFM) Reform programme and Public Service Reform (PSR) programme.,,,15120,4,,15120.02,,,,,,,,
40818398,Public Sector Management Programme,PUBLIC SECTOR MANAGEMENT PROGRAMME,"Public Sector Management Programme (PSM)is one of the tree components of the Public Sector Reform Programme. The component has four sub-components – Rightsizing, Pay reform, Performance Management, Payroll Management and Establishment Control.",Public Sector Management Programme,PUBLIC SECTOR MANAGEMENT PROGRAMME,"Public Sector Management Programme (PSM)is one of the tree components of the Public Sector Reform Programme. The component has four sub-components – Rightsizing, Pay reform, Performance Management, Payroll Management and Establishment Control.",,,15120,4,,15120.02,,,,,,,,
40818398,PUBLIC SECTOR MANAGEMENT STRENGTHENING,PUBLIC SECTOR MANAGEMENT STRENGTHENING,The Public Sector Management Strengthening Project commenced in May 1996. The project's objectives are to assist with strengthening of key areas of the public service to provide improved and more timely policy to Government and to further improve financi,PUBLIC SECTOR MANAGEMENT STRENGTHENING,PUBLIC SECTOR MANAGEMENT STRENGTHENING,The Public Sector Management Strengthening Project commenced in May 1996. The project's objectives are to assist with strengthening of key areas of the public service to provide improved and more timely policy to Government and to further improve financi,,,15120,4,,15120.02,,,,,,,,
40818398,BOG Transparencia por Colombia,PUBLIC SECTOR MGMT: BOG TRANSPARENCIA POR COLOMBIA,Transparencia y rendicion de cuentas de la entidades públicas,Transparencia por Colombia BOG,PUBLIC SECTOR MGMT: BOG TRANSPARENCY BY COLOMBIA,Transparency and accountability of the public entities,,,15140,4,,15140.04,,,,,,,,
40818398,KAI WFP Food Subsidy Reform,PUBLIC SECTOR MGMT: KAI WFP FOOD SUBSIDY REFORM,This contribution is to be used to support the Government of Egypt to undertake food subsidy reforms to achieve greater efficiency and better targeting to the poor.,KAI WFP Food Subsidy Reform,PUBLIC SECTOR MGMT: KAI WFP FOOD SUBSIDY REFORM,This contribution is to be used to support the Government of Egypt to undertake food subsidy reforms to achieve greater efficiency and better targeting to the poor.,,,31110,4,,31110.02,,,,,,,,
40818398,LUS OAG RIDP-II extension,PUBLIC SECTOR MGMT: LUS OAG RIDP-II EXTENSION,LUS OAG Restructuring and Institutional Development Project II - extension,POPULAR OAG RIDP-II extension,PUBLIC SECTOR MGMT: LUS OAG RIDP-II EXTENSION,LUS OAG Restructuring and Institutional Development Project II - extension,,,15105,3,,15105.01,,,,,,,,
40818398,SAA PFM Action Plan support,PUBLIC SECTOR MGMT: SAA PFM ACTION PLAN SUPPORT,Joint programme UNDP/DfID/GTZ Support to implementation of PFM Action Plan,SAA PFM Action Plan support,PUBLIC SECTOR MGMT: SAA PFM ACTION PLAN SUPPORT,Joint programme UNDP/DfID/GTZ Support to implementation of PFM Action Plan,,,15105,3,,15105.01,,,,,,,,
40818398,U4 Virtual Resource Centre,PUBLIC SECTOR MGMT: U4 VIRTUAL RESOURCE CENTRE,Anti-corruptie database informatie- en trainingscentrum helpdesk faciliteit,U4 Virtual Resource Centre,PUBLIC SECTOR MGMT: U4 VIRTUAL RESOURCE CENTRE,Anti-corruption information database and helpdesk training facility,,,15120,5,,15120.04,,,,,,,,
40818398,PUBLIC SECTOR MODERNISATION,PUBLIC SECTOR MODERNISATION,"To enable the Government ofJamaica (GOJ) to establish an efficent, effective, transparent responsive public service and to improve the outcomes achieved in pursuance of its pro-poor policy objectives.",PUBLIC SECTOR MODERNISATION,PUBLIC SECTOR MODERNISATION,"To enable the Government ofJamaica (GOJ) to establish an efficent, effective, transparent responsive public service and to improve the outcomes achieved in pursuance of its pro-poor policy objectives.",,,15140,4,,15140.04,,,,,,,,
40818398,PUBLIC SECTOR MODERNISATION PROGRAMME,PUBLIC SECTOR MODERNISATION PROGRAMME,"To enable the Government of Jamaica (GOJ) to establish an efficient, effective, transparent responsive public service and to improve the outcomes achieved in pusuance of its pro-poor policy objectives.",PUBLIC SECTOR MODERNISATION PROGRAMME,PUBLIC SECTOR MODERNISATION PROGRAMME,"To enable the Government of Jamaica (GOJ) to establish an efficient, effective, transparent responsive public service and to improve the outcomes achieved in pusuance of its pro-poor policy objectives.",,,15140,4,,15140.04,,,,,,,,
40818398,PUBLIC SECTOR MODERNISING PROGRAMME (PSMP),PUBLIC SECTOR MODERNISING PROGRAMME (PSMP),"To support SHG to formulate, implement and monitor a co-ordingated programme of public policy and public sector management and performance improvement reforms that will enable St. Helena to atake advantage of the economic opportunities afforded by improve",PUBLIC SECTOR MODERNISING PROGRAMME (PSMP),PUBLIC SECTOR MODERNISING PROGRAMME (PSMP),"To support SHG to formulate, implement and monitor a co-ordingated programme of public policy and public sector management and performance improvement reforms that will enable St. Helena to atake advantage of the economic opportunities afforded by improve",,,15110,3,,15110.01,15140.04,,,,,,,
40818398,PUBLIC SECTOR RESPONSIVE FUND,PUBLIC SECTOR MODERNIZATION PROGRAM,"TO STRENGTHEN PSMP (PUBLIC SECTOR MODERNIZATION PROGRAM) IN MINISTRIES AND AGENCIES SUPPORTED BY THE CIDA PROGRAMME IN JAMAICA.     TO INCREASE PUBLIC SECTOR EFFICIENCY AND TO REDUCE UNNECESSARY GOVERNMENT BUREAUCRACY THROUGH POLICY PAPERS, OPERATIONS GUIDELINES, PROCEDURES MANUALS, STAKEHOLDER ANALYSIS, BUSINESS PLANS.",PUBLIC SECTOR RESPONSIVE FUND,PUBLIC SECTOR MODERNIZATION PROGRAM,"TO STRENGTHEN PSMP (PUBLIC SECTOR MODERNIZATION PROGRAM) IN MINISTRIES AND AGENCIES SUPPORTED BY THE CIDA PROGRAMME IN JAMAICA.     TO INCREASE PUBLIC SECTOR EFFICIENCY AND TO REDUCE UNNECESSARY GOVERNMENT BUREAUCRACY THROUGH POLICY PAPERS, OPERATIONS GUIDELINES, PROCEDURES MANUALS, STAKEHOLDER ANALYSIS, BUSINESS PLANS.",,,15100,3,,15140.04,15110.03,,,,,,,
40818398,Public Sector Niassa 2006      Niassa Public Administrat,PUBLIC SECTOR NIASSA 2006      NIASSA PUBLIC ADMINISTRAT,"The support will focus on; improving basic services, creating and     consolidating capacity at the provincial level, creating capacity at  the district level. Instruments used; provincial and district         strategic plans, PES, annual budget and the new PARPA, budget support through the annual budget of the province and improved audit follow   up. Contributions from partners are; support to technical assistance,",Public Sector Niassa 2006      Niassa Public Administrat,PUBLIC SECTOR NIASSA 2006      NIASSA PUBLIC ADMINISTRAT,"The support will focus on; improving basic services, creating and     consolidating capacity at the provincial level, creating capacity at  the district level. Instruments used; provincial and district         strategic plans, PES, annual budget and the new PARPA, budget support through the annual budget of the province and improved audit follow   up. Contributions from partners are; support to technical assistance,",1,,15120,4,,15140.04,15120.02,,,,,,,
40818398,,PUBLIC SECTOR OFFICIALS TRAINING,TO STRENGTHEN THE CAPACITIES OF MOFTEC AND LINE MINISTRIES IN INTERNATIONAL DEVELOPMENT AND MANAGEMENT.     SUPERV.CRSE.10 IN CHINA. 3 PROJ. OFF. CRSE FOR 7 PEOPLE EACH CRSE. IN CHINA. 1 3WK. STUDY TOUR TO CDA-10-1 FOLLOW-UP IN CHINA 2 6-MO. TRAINING PROGRAMS IN CDA. FOR 2 PEOPLE.,,PUBLIC SECTOR OFFICIALS TRAINING,TO STRENGTHEN THE CAPACITIES OF MOFTEC AND LINE MINISTRIES IN INTERNATIONAL DEVELOPMENT AND MANAGEMENT.     SUPERV.CRSE.10 IN CHINA. 3 PROJ. OFF. CRSE FOR 7 PEOPLE EACH CRSE. IN CHINA. 1 3WK. STUDY TOUR TO CDA-10-1 FOLLOW-UP IN CHINA 2 6-MO. TRAINING PROGRAMS IN CDA. FOR 2 PEOPLE.,,,15110,4,,15110.03,,,,,,,,
40818398,PUBLIC SECTOR PAY REFORM,PUBLIC SECTOR PAY REFORM,To support the governmetn of Serbia to develop a pay strategy/blueprint for the public service,PUBLIC SECTOR PAY REFORM,PUBLIC SECTOR PAY REFORM,To support the governmetn of Serbia to develop a pay strategy/blueprint for the public service,,,15140,4,,15140.04,,,,,,,,
40818398,PUBLIC SECTOR MANAGEMENT AND REFORM,PUBLIC SECTOR REFORM,To provide consultancy for the CGCED to look at Public Sector Reform in the OECS countries.,PUBLIC SECTOR MANAGEMENT AND REFORM,PUBLIC SECTOR REFORM,To provide consultancy for the CGCED to look at Public Sector Reform in the OECS countries.,1,,15140,4,,15140.04,,,,,,,,
40818398,PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,"Outcome description: National, regional and local levels of governance expand their capacities to reduce conflict and manage the equitable delivery of public services",PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,"Outcome description: National, regional and local levels of governance expand their capacities to reduce conflict and manage the equitable delivery of public services",,,15140,4,,15140.03,15140.04,,,,,,,
40818398,PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,SUPPORT TO GOK TO EFFECTIVELY UTILISE RBM IN FAST TRACKING DELIVERY OF ERS,PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,SUPPORT TO GOK TO EFFECTIVELY UTILISE RBM IN FAST TRACKING DELIVERY OF ERS,,,15140,4,,15140.04,,,,,,,,
40818398,PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,"To provide general advice and assistance to the Government of Anguilla on all aspects of the design, management and implementation of a programme of Public Service Reform",PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,"To provide general advice and assistance to the Government of Anguilla on all aspects of the design, management and implementation of a programme of Public Service Reform",,,15140,4,,15140.04,,,,,,,,
40818398,PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,To support the transformation of the public sector in Mozambique,PUBLIC SECTOR REFORM,PUBLIC SECTOR REFORM,To support the transformation of the public sector in Mozambique,,,15140,4,,15140.04,,,,,,,,
