iso2,iso3,adt_code,year,grant_amount,subject,grant_count,foundation_count,country
AF,AFG,160,2008,56000,Other Social Infrastructure and Services,3,3,Afghanistan
AF,AFG,160,2009,715700,Other Social Infrastructure and Services,5,5,Afghanistan
AF,AFG,160,2010,410900,Other Social Infrastructure and Services,2,2,Afghanistan
AF,AFG,220,2009,200000,Communications,1,1,Afghanistan
AF,AFG,220,2010,100000,Communications,1,1,Afghanistan
AF,AFG,250,2007,40000,Business and Other Services,1,1,Afghanistan
AF,AFG,250,2008,520000,Business and Other Services,4,4,Afghanistan
AF,AFG,250,2009,441520,Business and Other Services,3,3,Afghanistan
AF,AFG,310,2009,10000,"Agriculture, Forestry, Fishing",1,1,Afghanistan
AF,AFG,410,2008,80000,General environmental protection Non-sector specific,1,1,Afghanistan
AF,AFG,420,2009,100000,Women (in Development),1,1,Afghanistan
AF,AFG,430,2007,75000,Other Multisector/Cross-cutting,1,1,Afghanistan
AF,AFG,430,2008,225366,Other Multisector/Cross-cutting,4,2,Afghanistan
AF,AFG,430,2009,658750,Other Multisector/Cross-cutting,6,6,Afghanistan
AF,AFG,430,2010,264255,Other Multisector/Cross-cutting,9,7,Afghanistan
AF,AFG,700,2009,410000,Humanitarian Aid (Including Reconstruction and Recovery),3,3,Afghanistan
AF,AFG,930,2009,150000,Refugees,2,1,Afghanistan
AF,AFG,998,2009,50000,Unallocated/Unspecified,1,1,Afghanistan
AG,ATG,110,2006,12800,Education,1,1,Antigua and Barbuda
AG,ATG,110,2007,10000,Education,1,1,Antigua and Barbuda
AG,ATG,120,2009,25000,Health,1,1,Antigua and Barbuda
AG,ATG,160,2006,11092,Other Social Infrastructure and Services,1,1,Antigua and Barbuda
AG,ATG,920,2009,10000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Antigua and Barbuda
AG,ATG,920,2010,15000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Antigua and Barbuda
AL,ALB,110,2006,15000,Education,1,1,Albania
AL,ALB,150,2010,130000,Government and Civil Society,2,1,Albania
AL,ALB,160,2005,97000,Other Social Infrastructure and Services,4,2,Albania
AL,ALB,160,2006,10000,Other Social Infrastructure and Services,1,1,Albania
AL,ALB,160,2008,1941977,Other Social Infrastructure and Services,3,1,Albania
AL,ALB,160,2009,1274442,Other Social Infrastructure and Services,3,1,Albania
AL,ALB,250,2010,10000,Business and Other Services,1,1,Albania
AL,ALB,430,2005,50000,Other Multisector/Cross-cutting,1,1,Albania
AL,ALB,430,2008,10000,Other Multisector/Cross-cutting,1,1,Albania
AL,ALB,430,2010,25000,Other Multisector/Cross-cutting,1,1,Albania
AL,ALB,920,2010,70000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Albania
AL,ALB,998,2008,47370,Unallocated/Unspecified,1,1,Albania
AM,ARM,110,2007,9857866,Education,1,1,Armenia
AM,ARM,110,2008,9611309,Education,1,1,Armenia
AM,ARM,110,2009,1220000,Education,2,2,Armenia
AM,ARM,110,2010,1000000,Education,2,2,Armenia
AM,ARM,120,2009,275000,Health,2,2,Armenia
AM,ARM,120,2010,415000,Health,2,1,Armenia
AM,ARM,150,2005,2565151,Government and Civil Society,1,1,Armenia
AM,ARM,150,2007,590428,Government and Civil Society,1,1,Armenia
AM,ARM,150,2008,487950,Government and Civil Society,1,1,Armenia
AM,ARM,150,2009,3590174,Government and Civil Society,3,3,Armenia
AM,ARM,150,2010,3526044,Government and Civil Society,2,2,Armenia
AM,ARM,160,2006,20000,Other Social Infrastructure and Services,1,1,Armenia
AM,ARM,160,2008,30000,Other Social Infrastructure and Services,1,1,Armenia
AM,ARM,160,2010,130161,Other Social Infrastructure and Services,2,2,Armenia
AM,ARM,310,2009,100000,"Agriculture, Forestry, Fishing",1,1,Armenia
AM,ARM,420,2010,16000,Women (in Development),1,1,Armenia
AM,ARM,430,2007,18063696,Other Multisector/Cross-cutting,2,1,Armenia
AM,ARM,430,2008,14574784,Other Multisector/Cross-cutting,2,1,Armenia
AM,ARM,430,2010,2000000,Other Multisector/Cross-cutting,1,1,Armenia
AM,ARM,700,2009,2383835,Humanitarian Aid (Including Reconstruction and Recovery),6,4,Armenia
AM,ARM,700,2010,1902573,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Armenia
AO,AGO,120,2009,2110000,Health,5,1,Angola
AO,AGO,120,2010,123831939,Health,10,2,Angola
AO,AGO,130,2009,300000,Population Policies/Programmes and Reproductive Health,1,1,Angola
AO,AGO,160,2006,17000,Other Social Infrastructure and Services,1,1,Angola
AO,AGO,160,2007,475198,Other Social Infrastructure and Services,2,1,Angola
AO,AGO,160,2009,240000,Other Social Infrastructure and Services,2,2,Angola
AO,AGO,160,2010,10000,Other Social Infrastructure and Services,1,1,Angola
AO,AGO,250,2009,100000,Business and Other Services,1,1,Angola
AO,AGO,410,2009,50000,General environmental protection Non-sector specific,1,1,Angola
AO,AGO,410,2010,50000,General environmental protection Non-sector specific,1,1,Angola
AO,AGO,430,2009,153535,Other Multisector/Cross-cutting,1,1,Angola
AO,AGO,430,2010,5000000,Other Multisector/Cross-cutting,1,1,Angola
AO,AGO,700,2009,300000,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Angola
AR,ARG,110,2005,692578,Education,13,4,Argentina
AR,ARG,110,2006,692375,Education,14,9,Argentina
AR,ARG,110,2007,345340,Education,12,7,Argentina
AR,ARG,110,2008,641944,Education,15,10,Argentina
AR,ARG,110,2009,758757,Education,18,11,Argentina
AR,ARG,110,2010,166375,Education,2,2,Argentina
AR,ARG,120,2005,45000,Health,3,2,Argentina
AR,ARG,120,2006,417780,Health,7,6,Argentina
AR,ARG,120,2007,95000,Health,3,3,Argentina
AR,ARG,120,2008,620000,Health,3,2,Argentina
AR,ARG,120,2009,155660,Health,4,3,Argentina
AR,ARG,120,2010,377000,Health,4,2,Argentina
AR,ARG,130,2006,156000,Population Policies/Programmes and Reproductive Health,1,1,Argentina
AR,ARG,130,2008,643705,Population Policies/Programmes and Reproductive Health,2,1,Argentina
AR,ARG,150,2005,1732000,Government and Civil Society,11,2,Argentina
AR,ARG,150,2006,1036000,Government and Civil Society,11,2,Argentina
AR,ARG,150,2007,997000,Government and Civil Society,9,3,Argentina
AR,ARG,150,2008,1099871,Government and Civil Society,11,2,Argentina
AR,ARG,150,2009,421000,Government and Civil Society,7,2,Argentina
AR,ARG,150,2010,325000,Government and Civil Society,3,3,Argentina
AR,ARG,160,2005,607080,Other Social Infrastructure and Services,10,5,Argentina
AR,ARG,160,2006,297321,Other Social Infrastructure and Services,10,7,Argentina
AR,ARG,160,2007,924246,Other Social Infrastructure and Services,14,8,Argentina
AR,ARG,160,2008,330560,Other Social Infrastructure and Services,11,6,Argentina
AR,ARG,160,2009,2134500,Other Social Infrastructure and Services,9,8,Argentina
AR,ARG,160,2010,829000,Other Social Infrastructure and Services,8,7,Argentina
AR,ARG,220,2005,40000,Communications,2,1,Argentina
AR,ARG,220,2008,30000,Communications,1,1,Argentina
AR,ARG,240,2006,13350,Banking and Financial Services,1,1,Argentina
AR,ARG,240,2007,13350,Banking and Financial Services,1,1,Argentina
AR,ARG,250,2005,144000,Business and Other Services,2,1,Argentina
AR,ARG,250,2007,465000,Business and Other Services,5,3,Argentina
AR,ARG,250,2008,296360,Business and Other Services,5,3,Argentina
AR,ARG,250,2009,301000,Business and Other Services,6,3,Argentina
AR,ARG,250,2010,150000,Business and Other Services,3,2,Argentina
AR,ARG,310,2005,47612,"Agriculture, Forestry, Fishing",1,1,Argentina
AR,ARG,310,2006,102022,"Agriculture, Forestry, Fishing",2,1,Argentina
AR,ARG,310,2008,1396000,"Agriculture, Forestry, Fishing",1,1,Argentina
AR,ARG,310,2009,103000,"Agriculture, Forestry, Fishing",1,1,Argentina
AR,ARG,330,2007,200000,Trade and Tourism,1,1,Argentina
AR,ARG,410,2005,140000,General environmental protection Non-sector specific,2,2,Argentina
AR,ARG,410,2006,59750,General environmental protection Non-sector specific,2,2,Argentina
AR,ARG,410,2007,351200,General environmental protection Non-sector specific,6,3,Argentina
AR,ARG,410,2008,680315,General environmental protection Non-sector specific,1,1,Argentina
AR,ARG,410,2009,468750,General environmental protection Non-sector specific,2,2,Argentina
AR,ARG,410,2010,1038000,General environmental protection Non-sector specific,4,2,Argentina
AR,ARG,420,2008,270000,Women (in Development),1,1,Argentina
AR,ARG,430,2005,449587,Other Multisector/Cross-cutting,3,2,Argentina
AR,ARG,430,2006,670000,Other Multisector/Cross-cutting,5,4,Argentina
AR,ARG,430,2007,775000,Other Multisector/Cross-cutting,6,3,Argentina
AR,ARG,430,2008,674260,Other Multisector/Cross-cutting,9,5,Argentina
AR,ARG,430,2009,265300,Other Multisector/Cross-cutting,9,6,Argentina
AR,ARG,430,2010,4810157,Other Multisector/Cross-cutting,5,3,Argentina
AR,ARG,520,2005,48261,Developmental food aid/Food security assistance,1,1,Argentina
AR,ARG,520,2007,10000,Developmental food aid/Food security assistance,1,1,Argentina
AR,ARG,700,2008,28000,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Argentina
AR,ARG,700,2009,18000,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Argentina
AR,ARG,930,2006,40000,Refugees,1,1,Argentina
AR,ARG,998,2005,37066,Unallocated/Unspecified,2,1,Argentina
AR,ARG,998,2006,100000,Unallocated/Unspecified,3,1,Argentina
AR,ARG,998,2007,10000,Unallocated/Unspecified,1,1,Argentina
AR,ARG,998,2008,10000,Unallocated/Unspecified,1,1,Argentina
AT,AUT,110,2005,22800,Education,2,2,Austria
AT,AUT,110,2006,35000,Education,2,1,Austria
AT,AUT,110,2007,45000,Education,2,2,Austria
AT,AUT,110,2008,90000,Education,2,2,Austria
AT,AUT,110,2009,15000,Education,1,1,Austria
AT,AUT,110,2010,442000,Education,5,4,Austria
AT,AUT,120,2006,37000,Health,2,2,Austria
AT,AUT,120,2007,8765765,Health,1,1,Austria
AT,AUT,120,2008,25000,Health,1,1,Austria
AT,AUT,120,2009,333236,Health,3,3,Austria
AT,AUT,120,2010,120000,Health,1,1,Austria
AT,AUT,130,2005,130000,Population Policies/Programmes and Reproductive Health,1,1,Austria
AT,AUT,140,2006,75000,Water Supply and Sanitation,1,1,Austria
AT,AUT,150,2006,50000,Government and Civil Society,1,1,Austria
AT,AUT,150,2007,25000,Government and Civil Society,1,1,Austria
AT,AUT,150,2008,150000,Government and Civil Society,1,1,Austria
AT,AUT,150,2009,108000,Government and Civil Society,1,1,Austria
AT,AUT,150,2010,60000,Government and Civil Society,1,1,Austria
AT,AUT,160,2005,327508,Other Social Infrastructure and Services,6,5,Austria
AT,AUT,160,2006,280800,Other Social Infrastructure and Services,6,5,Austria
AT,AUT,160,2007,2294481,Other Social Infrastructure and Services,4,3,Austria
AT,AUT,160,2008,1479738,Other Social Infrastructure and Services,9,6,Austria
AT,AUT,160,2009,30000,Other Social Infrastructure and Services,1,1,Austria
AT,AUT,160,2010,340000,Other Social Infrastructure and Services,5,4,Austria
AT,AUT,220,2005,10000,Communications,1,1,Austria
AT,AUT,220,2008,14700,Communications,1,1,Austria
AT,AUT,220,2010,249000,Communications,1,1,Austria
AT,AUT,310,2010,450000,"Agriculture, Forestry, Fishing",1,1,Austria
AT,AUT,410,2007,385000,General environmental protection Non-sector specific,2,1,Austria
AT,AUT,410,2008,482000,General environmental protection Non-sector specific,2,1,Austria
AT,AUT,410,2010,437000,General environmental protection Non-sector specific,2,1,Austria
AT,AUT,430,2005,1307180,Other Multisector/Cross-cutting,2,1,Austria
AT,AUT,430,2006,82732,Other Multisector/Cross-cutting,1,1,Austria
AT,AUT,430,2007,496928,Other Multisector/Cross-cutting,4,3,Austria
AT,AUT,430,2008,1659186,Other Multisector/Cross-cutting,7,4,Austria
AT,AUT,430,2009,172250,Other Multisector/Cross-cutting,3,2,Austria
AT,AUT,430,2010,80000,Other Multisector/Cross-cutting,1,1,Austria
AU,AUS,110,2005,1016344,Education,15,9,Australia
AU,AUS,110,2006,1481000,Education,13,7,Australia
AU,AUS,110,2007,1477260,Education,7,7,Australia
AU,AUS,110,2008,618792,Education,8,7,Australia
AU,AUS,110,2009,881150,Education,10,8,Australia
AU,AUS,110,2010,289255,Education,7,5,Australia
AU,AUS,120,2005,2028148,Health,17,10,Australia
AU,AUS,120,2006,1698114,Health,21,11,Australia
AU,AUS,120,2007,5279313,Health,23,11,Australia
AU,AUS,120,2008,19086967,Health,24,11,Australia
AU,AUS,120,2009,862476,Health,8,6,Australia
AU,AUS,120,2010,1442746,Health,7,4,Australia
AU,AUS,130,2005,604570,Population Policies/Programmes and Reproductive Health,4,2,Australia
AU,AUS,130,2006,300000,Population Policies/Programmes and Reproductive Health,1,1,Australia
AU,AUS,130,2007,1045950,Population Policies/Programmes and Reproductive Health,3,3,Australia
AU,AUS,130,2008,100000,Population Policies/Programmes and Reproductive Health,1,1,Australia
AU,AUS,140,2005,120000,Water Supply and Sanitation,2,2,Australia
AU,AUS,140,2006,305000,Water Supply and Sanitation,3,2,Australia
AU,AUS,140,2007,82500,Water Supply and Sanitation,1,1,Australia
AU,AUS,140,2009,595000,Water Supply and Sanitation,2,2,Australia
AU,AUS,150,2005,90000,Government and Civil Society,2,2,Australia
AU,AUS,150,2006,480000,Government and Civil Society,2,2,Australia
AU,AUS,150,2007,306700,Government and Civil Society,4,3,Australia
AU,AUS,150,2008,2320433,Government and Civil Society,5,4,Australia
AU,AUS,150,2010,100000,Government and Civil Society,1,1,Australia
AU,AUS,160,2005,1383040,Other Social Infrastructure and Services,26,11,Australia
AU,AUS,160,2006,1076503,Other Social Infrastructure and Services,17,11,Australia
AU,AUS,160,2007,1732001,Other Social Infrastructure and Services,31,12,Australia
AU,AUS,160,2008,2020290,Other Social Infrastructure and Services,30,10,Australia
AU,AUS,160,2009,924811,Other Social Infrastructure and Services,19,10,Australia
AU,AUS,160,2010,745637,Other Social Infrastructure and Services,10,6,Australia
AU,AUS,220,2007,50000,Communications,1,1,Australia
AU,AUS,220,2010,40000,Communications,2,1,Australia
AU,AUS,250,2006,16500,Business and Other Services,1,1,Australia
AU,AUS,250,2007,152580,Business and Other Services,3,2,Australia
AU,AUS,250,2008,125000,Business and Other Services,2,1,Australia
AU,AUS,250,2009,360000,Business and Other Services,3,3,Australia
AU,AUS,250,2010,210000,Business and Other Services,1,1,Australia
AU,AUS,310,2005,877250,"Agriculture, Forestry, Fishing",4,3,Australia
AU,AUS,310,2006,818000,"Agriculture, Forestry, Fishing",5,4,Australia
AU,AUS,310,2007,1335640,"Agriculture, Forestry, Fishing",4,3,Australia
AU,AUS,310,2008,235000,"Agriculture, Forestry, Fishing",2,2,Australia
AU,AUS,310,2009,765021,"Agriculture, Forestry, Fishing",3,3,Australia
AU,AUS,310,2010,8522236,"Agriculture, Forestry, Fishing",1,1,Australia
AU,AUS,330,2008,30000,Trade and Tourism,1,1,Australia
AU,AUS,410,2005,825332,General environmental protection Non-sector specific,9,4,Australia
AU,AUS,410,2006,430363,General environmental protection Non-sector specific,7,3,Australia
AU,AUS,410,2007,1850730,General environmental protection Non-sector specific,11,5,Australia
AU,AUS,410,2008,1355575,General environmental protection Non-sector specific,12,4,Australia
AU,AUS,410,2009,996774,General environmental protection Non-sector specific,8,7,Australia
AU,AUS,410,2010,2555000,General environmental protection Non-sector specific,10,4,Australia
AU,AUS,420,2007,75000,Women (in Development),1,1,Australia
AU,AUS,420,2010,50000,Women (in Development),1,1,Australia
AU,AUS,430,2005,2469506,Other Multisector/Cross-cutting,10,8,Australia
AU,AUS,430,2006,760087,Other Multisector/Cross-cutting,12,8,Australia
AU,AUS,430,2007,1328179,Other Multisector/Cross-cutting,20,10,Australia
AU,AUS,430,2008,3515448,Other Multisector/Cross-cutting,21,13,Australia
AU,AUS,430,2009,1425000,Other Multisector/Cross-cutting,9,6,Australia
AU,AUS,430,2010,89708,Other Multisector/Cross-cutting,1,1,Australia
AU,AUS,520,2007,75000,Developmental food aid/Food security assistance,1,1,Australia
AU,AUS,520,2009,11720,Developmental food aid/Food security assistance,1,1,Australia
AU,AUS,700,2006,86650,Humanitarian Aid (Including Reconstruction and Recovery),4,3,Australia
AU,AUS,700,2007,96000,Humanitarian Aid (Including Reconstruction and Recovery),2,1,Australia
AU,AUS,700,2009,827284,Humanitarian Aid (Including Reconstruction and Recovery),8,8,Australia
AU,AUS,920,2005,23000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Australia
AU,AUS,920,2006,135653,Support to Non-Governmental Organizations(NGOs) and Government Organizations,4,2,Australia
AU,AUS,920,2007,76660,Support to Non-Governmental Organizations(NGOs) and Government Organizations,2,2,Australia
AU,AUS,920,2008,125000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,3,3,Australia
AU,AUS,920,2009,358580,Support to Non-Governmental Organizations(NGOs) and Government Organizations,7,2,Australia
AU,AUS,920,2010,155000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,2,2,Australia
AU,AUS,998,2005,35000,Unallocated/Unspecified,1,1,Australia
AW,ABW,110,2005,16667,Education,1,1,Aruba
AW,ABW,120,2005,13888,Health,1,1,Aruba
AW,ABW,160,2005,119445,Other Social Infrastructure and Services,4,1,Aruba
AZ,AZE,110,2006,10000,Education,1,1,Azerbaijan
AZ,AZE,110,2007,17875,Education,1,1,Azerbaijan
AZ,AZE,110,2010,600000,Education,1,1,Azerbaijan
AZ,AZE,150,2006,18460,Government and Civil Society,1,1,Azerbaijan
AZ,AZE,150,2009,1166465,Government and Civil Society,2,2,Azerbaijan
AZ,AZE,150,2010,1000000,Government and Civil Society,1,1,Azerbaijan
AZ,AZE,160,2009,15000,Other Social Infrastructure and Services,1,1,Azerbaijan
AZ,AZE,430,2008,293078,Other Multisector/Cross-cutting,2,2,Azerbaijan
AZ,AZE,430,2009,94364,Other Multisector/Cross-cutting,1,1,Azerbaijan
AZ,AZE,430,2010,2000000,Other Multisector/Cross-cutting,1,1,Azerbaijan
AZ,AZE,998,2005,18545,Unallocated/Unspecified,1,1,Azerbaijan
BA,BIH,110,2008,40000,Education,1,1,Bosnia and Herzegovina
BA,BIH,110,2009,142000,Education,1,1,Bosnia and Herzegovina
BA,BIH,150,2005,354000,Government and Civil Society,4,1,Bosnia and Herzegovina
BA,BIH,150,2006,273500,Government and Civil Society,5,1,Bosnia and Herzegovina
BA,BIH,150,2007,350000,Government and Civil Society,3,1,Bosnia and Herzegovina
BA,BIH,150,2008,340000,Government and Civil Society,5,1,Bosnia and Herzegovina
BA,BIH,150,2009,355473,Government and Civil Society,4,3,Bosnia and Herzegovina
BA,BIH,150,2010,540000,Government and Civil Society,7,3,Bosnia and Herzegovina
BA,BIH,160,2006,135000,Other Social Infrastructure and Services,3,1,Bosnia and Herzegovina
BA,BIH,160,2008,110000,Other Social Infrastructure and Services,2,1,Bosnia and Herzegovina
BA,BIH,160,2010,340000,Other Social Infrastructure and Services,4,1,Bosnia and Herzegovina
BA,BIH,220,2006,150000,Communications,2,2,Bosnia and Herzegovina
BA,BIH,220,2007,75000,Communications,1,1,Bosnia and Herzegovina
BA,BIH,220,2008,195000,Communications,2,2,Bosnia and Herzegovina
BA,BIH,250,2005,10000,Business and Other Services,1,1,Bosnia and Herzegovina
BA,BIH,250,2010,10000,Business and Other Services,1,1,Bosnia and Herzegovina
BA,BIH,700,2009,185000,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Bosnia and Herzegovina
BA,BIH,920,2005,200000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,2,1,Bosnia and Herzegovina
BA,BIH,920,2006,50000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Bosnia and Herzegovina
BA,BIH,920,2007,205000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Bosnia and Herzegovina
BA,BIH,920,2008,160000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,2,1,Bosnia and Herzegovina
BA,BIH,920,2009,180000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,1,1,Bosnia and Herzegovina
BA,BIH,920,2010,222000,Support to Non-Governmental Organizations(NGOs) and Government Organizations,4,1,Bosnia and Herzegovina
BA,BIH,998,2005,54904,Unallocated/Unspecified,2,1,Bosnia and Herzegovina
BA,BIH,998,2008,50000,Unallocated/Unspecified,1,1,Bosnia and Herzegovina
BB,BRB,110,2010,10000,Education,1,1,Barbados
BB,BRB,120,2007,300000,Health,1,1,Barbados
BB,BRB,150,2008,20000,Government and Civil Society,1,1,Barbados
BB,BRB,160,2009,10000,Other Social Infrastructure and Services,1,1,Barbados
BB,BRB,160,2010,50000,Other Social Infrastructure and Services,1,1,Barbados
BD,BGD,110,2008,1410000,Education,3,2,Bangladesh
BD,BGD,110,2009,715000,Education,2,1,Bangladesh
BD,BGD,110,2010,10000,Education,1,1,Bangladesh
BD,BGD,120,2007,100000,Health,1,1,Bangladesh
BD,BGD,120,2008,330339,Health,2,2,Bangladesh
BD,BGD,120,2009,25812149,Health,8,5,Bangladesh
BD,BGD,120,2010,19122055,Health,14,3,Bangladesh
BD,BGD,130,2005,75000,Population Policies/Programmes and Reproductive Health,1,1,Bangladesh
BD,BGD,130,2006,25500929,Population Policies/Programmes and Reproductive Health,2,2,Bangladesh
BD,BGD,130,2008,350000,Population Policies/Programmes and Reproductive Health,2,1,Bangladesh
BD,BGD,130,2009,250000,Population Policies/Programmes and Reproductive Health,1,1,Bangladesh
BD,BGD,140,2008,200000,Water Supply and Sanitation,1,1,Bangladesh
BD,BGD,140,2009,1782189,Water Supply and Sanitation,2,2,Bangladesh
BD,BGD,140,2010,1781730,Water Supply and Sanitation,3,2,Bangladesh
BD,BGD,150,2005,200000,Government and Civil Society,1,1,Bangladesh
BD,BGD,150,2008,10000,Government and Civil Society,1,1,Bangladesh
BD,BGD,150,2009,550000,Government and Civil Society,3,3,Bangladesh
BD,BGD,160,2008,63632,Other Social Infrastructure and Services,1,1,Bangladesh
BD,BGD,160,2009,24000,Other Social Infrastructure and Services,1,1,Bangladesh
BD,BGD,160,2010,64000,Other Social Infrastructure and Services,3,2,Bangladesh
BD,BGD,240,2010,10000000,Banking and Financial Services,1,1,Bangladesh
BD,BGD,250,2006,60000,Business and Other Services,1,1,Bangladesh
BD,BGD,250,2009,1174865,Business and Other Services,4,4,Bangladesh
BD,BGD,250,2010,728200,Business and Other Services,4,2,Bangladesh
BD,BGD,310,2006,14967043,"Agriculture, Forestry, Fishing",1,1,Bangladesh
BD,BGD,310,2009,200000,"Agriculture, Forestry, Fishing",1,1,Bangladesh
BD,BGD,310,2010,2009753,"Agriculture, Forestry, Fishing",5,2,Bangladesh
BD,BGD,410,2008,135000,General environmental protection Non-sector specific,2,1,Bangladesh
BD,BGD,410,2010,10000,General environmental protection Non-sector specific,1,1,Bangladesh
BD,BGD,420,2006,75000,Women (in Development),1,1,Bangladesh
BD,BGD,420,2008,300000,Women (in Development),1,1,Bangladesh
BD,BGD,430,2006,100000,Other Multisector/Cross-cutting,1,1,Bangladesh
BD,BGD,430,2007,500000,Other Multisector/Cross-cutting,1,1,Bangladesh
BD,BGD,430,2008,370000,Other Multisector/Cross-cutting,3,2,Bangladesh
BD,BGD,430,2009,3795192,Other Multisector/Cross-cutting,11,4,Bangladesh
BD,BGD,430,2010,490300,Other Multisector/Cross-cutting,3,3,Bangladesh
BD,BGD,700,2007,30000,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Bangladesh
BD,BGD,700,2008,500000,Humanitarian Aid (Including Reconstruction and Recovery),1,1,Bangladesh
BD,BGD,700,2009,375000,Humanitarian Aid (Including Reconstruction and Recovery),3,3,Bangladesh
BD,BGD,700,2010,414497,Humanitarian Aid (Including Reconstruction and Recovery),2,1,Bangladesh
BD,BGD,998,2010,150000,Unallocated/Unspecified,1,1,Bangladesh
BE,BEL,110,2005,215000,Education,2,2,Belgium
BE,BEL,110,2006,37600,Education,2,2,Belgium
BE,BEL,110,2007,1578000,Education,5,4,Belgium
BE,BEL,110,2008,19502,Education,1,1,Belgium
BE,BEL,120,2005,517811,Health,7,4,Belgium
BE,BEL,120,2006,618212,Health,4,3,Belgium
BE,BEL,120,2007,1986800,Health,5,4,Belgium
BE,BEL,120,2008,297248,Health,5,4,Belgium
BE,BEL,120,2009,403335,Health,5,4,Belgium
BE,BEL,130,2005,3024011,Population Policies/Programmes and Reproductive Health,1,1,Belgium
BE,BEL,130,2006,250000,Population Policies/Programmes and Reproductive Health,1,1,Belgium
BE,BEL,130,2007,7218773,Population Policies/Programmes and Reproductive Health,1,1,Belgium
BE,BEL,130,2008,23000,Population Policies/Programmes and Reproductive Health,1,1,Belgium
BE,BEL,150,2005,1548000,Government and Civil Society,9,4,Belgium
BE,BEL,150,2006,175050,Government and Civil Society,3,3,Belgium
BE,BEL,150,2007,672000,Government and Civil Society,4,3,Belgium
BE,BEL,150,2008,760000,Government and Civil Society,4,3,Belgium
BE,BEL,160,2005,242600,Other Social Infrastructure and Services,4,3,Belgium
BE,BEL,160,2006,823080,Other Social Infrastructure and Services,8,5,Belgium
BE,BEL,160,2007,655333,Other Social Infrastructure and Services,7,3,Belgium
BE,BEL,160,2008,1161312,Other Social Infrastructure and Services,7,5,Belgium
BE,BEL,160,2009,134239,Other Social Infrastructure and Services,7,4,Belgium
BE,BEL,160,2010,213000,Other Social Infrastructure and Services,5,2,Belgium
BE,BEL,240,2008,14151886,Banking and Financial Services,1,1,Belgium
BE,BEL,240,2009,5848114,Banking and Financial Services,1,1,Belgium
BE,BEL,240,2010,80000,Banking and Financial Services,1,1,Belgium
