"project_id","donor","title","year","year_uncertain","description","sector","sector_comment","crs_sector","status","status_code","flow","all_recipients","sources","sources_count","funding_agency","implementing_agency","donor_agency","donor_agency_count","recipient_agencies","recipient_agencies_count","verified","verified_code","flow_class","flow_class_code","intent","intent_code","active","active_code","factiva_sources","amount","currency","deflators_used","exchange_rates_used","usd_defl","start_actual","start_planned","end_actual","end_planned","recipient_count","recipient_condensed","recipient_cow_code","recipient_oecd_code","recipient_oecd_name","recipient_iso3","recipient_iso2","recipient_un_code","recipient_imf_code","is_commercial","is_commercital","debt_uncertian","line_of_credit","is_cofinanced","loan_type","interest_rate","maturity","grace_period","grant_element"
"746","China","DUPLICATE","2007","false","'Copyright 2007, Global Insight Limited. All Rights Reserved.China's Foreign Minister Li Zhaoxing is currently on a seven-country tour of sub-Saharan Africa, visiting states that his country could profit from by exploiting minerals or securing future energy supplies. Li, having finished his visit to Equatorial Guinea, met Chad's president Idriss Déby Itno, with whom he discussed security issues and the conflict in Sudan’s Darfur region. Li later signed off on a loan of US$26 million and promised to cancel debts that Chad owed to China. The African country is looking for significant investment in its hydrocarbons sector and in August 2006 decided diplomatically to recognise China over Taiwan (see Chad: 9 August 2006:). Significance: China is responsible for building up Sudan's oil industry from a low level and after this first visit by a senior government minister from the East Asian giant, Chad can also expect huge investment in its oil sector.Because of China's special relationship with Sudan, hostilities between Chad and Sudan should cease permanently. Chad's oil is currently exported by pipeline via Cameroon, but with Chinese funds it is possible that a new pipeline will be constructed and Chad's crude could be exported from Sudan's east coat. Meanwhile, Li's visit to Equatorial Guinea saw his host's bilateral debt to China reduced by US$75 million. Global Insight believes China will take significant acreage in Equatorial Guinea's upcoming licensing round due early this year; the country's oil sector is currently dominated by U.S. firms. When Li completes his seven nation tour he will also have visited Guinea Bissau, Botswana, Eritrea, Central African Republic and Benin. ''中国外长李肇星已抵达乍得并与乍得总统伊特诺举行了会晤。双方就乍得邻国苏丹受战乱摧残的达尔富尔地区的人道主义危机等事项进行了磋商。这是李肇星此次非洲七国访问的第四站。李肇星此行的主要目的是加深中国与非洲各国的关系，同时李肇星此行也反映出中国对非洲大陆日益增加的经济兴趣。李肇星还签署了一系列协议，包括中国向乍得提供价值两千六百万美元的优惠贷款及免除乍得欠中国的数十亿美元债务等内容。此前，李肇星刚刚结束对中西非国家几内亚比绍的访问，几内亚比绍获得了中国四百万美元的捐助。中国迫切希望打通渠道获得非洲大陆丰富的石油与矿产资源，用来满足国内经济高速发展的需要。因此中国和苏丹与津巴布韦等因侵犯人权而遭到西方国家摈弃的非洲国家发展关系的做法也饱受西方国家的批评。' ","Debt Relief","","600","Pipeline/identification","1","Debt forgiveness","Chad","http://global.factiva.com/aa/?ref=WDAN000020070105e31500019&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report; http://www.1688.com.au/news/200701/hotnet5090.shtml       , Local Language Source      , Donor media or official","2","","","","","","","Raw","0","ODA-like","2","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=WDAN000020070105e31500019&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report; http://www.1688.com.au/news/200701/hotnet5090.shtml         , Factiva        , Donor media or official","1000000000.0","USD","0.8379948373178","1.0","1193324774.17","","","","","1","Chad","483","232","Chad","TCD","TD","148","628","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"757","China","Not a project: Revival of tram project NEEDS CONFIRMATION","2011","false","In 2011, a media source reported that the China International Fund Ltd was planning to revive the tram project in Antananarivo.Chinese companies have gone on the offensive in Madagascar, where the Minister for Finance, Hery Rajaonarimampianina, has just informed the President for Transition, Andry Rajoelina known as TGV, about the project to create the Madagascar Development Corporation (MDC), a joint venture between the Malagasy State (15%) and the China International Fund Ltd (CIF). A company based in Hong Kong and related to China Sonangol (an alliance between Chinese capital and the Angolan State), CIF is particularly planning to revie the tram project in Antananarivo (ION 1297). The financial configuration of this future MDC is similar to that of the Société Sino-Guinéennede Déeloppement which the CIF tried to found in Conakry (Guinea) at the end of 2009 when the country was under the thumb of President Moussa Dadis Camara. The sponsors of this Guinean company are the very same that are now trying to promote Sino-Angolan interests to TGV: the former Guinean Minister for Mines, Mahmoud Thiam, a close friend of his Malagasy opposite number, Mamy Ratovomalala, and the International Football Federation (FIFA) player agent Amadou Diaby. These two men went to Antananarivo several times, where they were received by TGV and his advisors. According to Africa Energy Intelligence (sister publication to The Indian Ocean Newsletter), China-Sonangol is planning, via their intermediary, to recover the oil search permits that the Malagasy State is trying to revoke from Madagascar Oil.Thiam and Diaby also took a Frenchman along with them: Gilles Wertheimer, a businessman who may already have participated in building a military hospital in Guinea with Chinese funding. Via his company Alliance International Partners, whose Africa representative is Diaby, Wertheimer offered TGV to build several pre-fabricated hospitals, thereby enabling him to keep promises he had made during the campaign for the constitutional referendum last year. Wertheimer estimates that this construction work could be financed by levying $10 million on the amount paid by the Chinese company Wisco to obtain its contract to work iron ore at Soalala.","Infrastructure, Energy and Mining","","","Pipeline/identification","1","Joint venture with recipient","Madagascar","http://global.factiva.com/aa/?ref=IOLET00020110204e71m0000s&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","China International Fund (CIF), Private Sector","","China International Fund (CIF), Private Sector","1","","","Checked","1","OOF-like","3","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=IOLET00020110204e71m0000s&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","","","","","","","","","","1","Madagascar","580","252","Madagascar","MDG","MG","450","674","Commercial","1","false","false","false","Unset","Unset","Unset","Unset","Unset"
"764","China","PPIAF - Kribi Iron Mine; not a project","2008","false","In 2008, China Steel registered a branch in Cameroon to explore iron ore in Kribi. (PPIAF) China Steel registered a branch in Cameroon to explore iron ore in Kribi. ; Political/Resource Considerations: Iron (Iron); PPIAF-ID:341","Infrastructure, Energy and Mining","Minerals; Iron","","Completion","3","Foreign direct investment (no public support)","Cameroon","ppiaf_consultant             ","1","","China Steel Corporation (CSC), State-Owned Company","China Steel Corporation (CSC), State-Owned Company","1","","","Checked","1","OOF-like","3","Unset","","Inactive","2","ppiaf_consultant         , Factiva        ","","","","","","","01 October 2008","","","1","Cameroon","471","229","Cameroon","CMR","CM","120","622","Commercial","1","false","false","false","Unset","Unset","Unset","Unset","Unset"
"772","China"," Not a project: Medical teams ","2000","false","- Northwest China's Gansu Province has sent 12 medical teams, a total of 349 physicians, to Madagascar in the past 25 years, a provincial medical official said here Tuesday.Gansu began to send medical workers to Madagascar in 1975 in accordance with an agreement signed between the two governments. To date, Chinese doctors there have treated 12.5 million patients from a dozen countries, including Comorin, Mauritius, France, Germany and Korea. They have performed 110,000 operations and conducted acupuncture therapy on 530,000 patients.When patients were in critical conditions with no suitable blood available, Chinese doctors donated their own blood, which won high praise from local residents. Thirty-eight Chinese doctors have been awarded the 'cavalier honor' granted by the government of Madagascar. The medical teams have also opened acupuncture training courses to help local physicians master the traditional Chinese therapy.","Health","","","Implementation","2","Free-standing technical assistance","Madagascar","http://global.factiva.com/aa/?ref=xnews00020010818dwbm013u1&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , Donor media or official","1","","Gansu Province, Government Agency","Gansu Province, Government Agency","1","","","Checked","1","Unset","1","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=xnews00020010818dwbm013u1&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , Donor media or official","","","","","","","","","","1","Madagascar","580","252","Madagascar","MDG","MG","450","674","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"780","China","Construction of highway linking northern Malawi to Zambia (Duplicate with 768)","2009","false","In Malawi in January, Chinese Foreign Minister Yang Jiechi signed an agreement to build a $90 million hotel conference center in the capital, Lilongwe. China is also building a Parliament house and a highway linking northern Malawi to Zambia.","Infrastructure, Energy and Mining","","","Implementation","2","Unset","Malawi","http://global.factiva.com/aa/?ref=APRS000020090323e53n001ak&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","","","","","","","Raw","0","Vague (Official Finance)","5","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=APRS000020090323e53n001ak&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","","","","","","","","","","1","Malawi","553","253","Malawi","MWI","MW","454","676","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"794","China","$8.32 million in financial aid (Inactive same as ID#791)","2009","false","During a 'whistle-stop' visit to Guinea-Bissau on September 21, 2009 Chinese Foreign Affairs Deputy Minister Zhai Jun met with Bissau-Guinean Defence Minister Artur Silva. The pair signed agreements on the enhancement of technical co-operation and support for food sufficiency. The Chinese government gave Guinea-Bissau US$8.32 million in financial aid. US$1.47 million in food aid was also granted to Guinea-Bissau during this visit (see Project ID# 793). No information regarding the disbursement of the aid could be found","Debt Relief","","600","Pipeline/identification","1","Grant (excluding debt forgiveness)","Guinea-Bissau","http://global.factiva.com/aa/?ref=WDAN000020090923e59n00036&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","","","","","","","Raw","0","Vague (Official Finance)","5","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=WDAN000020090923e59n00036&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","8320000.0","EUR","1.0","0.7181","11586130.07","","","","","1","Guinea-Bissau","404","244","Guinea-Bissau","GNB","GW","624","654","Not Commercial","2","false","false","false","","","","",""
"816","China","Duplicate: PPIAF - No. 3 Bamako Bridge","2009","false","(PPIAF) China provided grant  to build the No. 3 Bamako Bridge in Mali. ; Total Project Cost: USD 58.4187408491947 Million; PPIAF-ID:178","Infrastructure, Energy and Mining","","","Implementation","2","Grant (excluding debt forgiveness)","Mali","http://www.cggc.cn/zt_news_show.asp?UidA=1365&UidB=1494&id=5602             ","1","","China Gezhouba Group Company Ltd. (CGGC), State-Owned Company","China Gezhouba Group Company Ltd. (CGGC), State-Owned Company","1","","","Checked","1","ODA-like","2","Unset","","Inactive","2","http://www.cggc.cn/zt_news_show.asp?UidA=1365&UidB=1494&id=5602         , Factiva        ","","","","","","","01 February 2009","","","1","Mali","432","255","Mali","MLI","ML","466","678","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"907","China","PPIAF -agreement between ZTE and  Mundo Startel Telecommunications Project (Inactive see Project #63)","2005","false","(PPIAF) Supply of CDMA 2000 network to Angola's fixed-line telecom operator Mundo Startel.  Following the completion, the network was to cover Angola's eight major provinces, and offer more advanced telecom services for customers, including voice, data; Political/Resource Considerations: Commercial; Total Project Cost: USD 69 Million; PPIAF-ID:11","Infrastructure, Energy and Mining","Telecom; Fixed and mobile assets","","Completion","3","Foreign direct investment (no public support)","Angola","","0","Export-Import Bank of China, Government Agency","Mundo Startel, Private Sector; Zhongxing Technologies (ZTE), State-Owned Company","Export-Import Bank of China, Government Agency; Zhongxing Technologies (ZTE), State-Owned Company","2","Mundo Startel, Private Sector","1","Checked","1","OOF-like","3","Unset","","Inactive","2","","69000000.0","USD","0.69665104956371","1.0","99045282.48999999","","01 July 2005","","","1","Angola","540","225","Angola","AGO","AO","24","614","Commercial","1","false","false","false","Unset","Unset","Unset","Unset","Unset"
"892","China","Military housing (Inactive: project likely refers to #22580)","2006","false","No African country is waiting with greater anxiety for firm commitments on increased international aid than Guinea-Bissau. A meeting scheduled next week in Geneva with all its main donors will be a make-or-break moment for the country - its chance to secure reliable funding to underpin an overdue economic recovery.The meeting has repeatedly been put back because of domestic political events. The last time a Guinea-Bissau government managed to obtain a package of donor pledges was in 1999, in the aftermath of destructive civil conflict. An agreement was then made with the International Monetary Fund, but it fell through in 2001 because of slippages in the government's engagements.An emergency post-conflict deal was expected at the end of last year. But then came another setback - the unexpected decision by newly-elected President Joao Bernardo 'Nino' Vieira to sack the government. The donors' meeting was postponed once more.Guinea-Bissau, one of a dozen countries in the world that have stayed in the World Bank's category of fragile states for the last four years, is back to the same point it was at just over a year ago. The International Monetary Fund is ready to give the go-ahead for its special post-conflict assistance. This will be a signal for other aid, starting with $10m of budget support which the government has already negotiated with the World Bank.Oer the past few years, European and regional partners have had to come to the rescue with exceptional one-off help to meet essential needs such as paying wage bills and purchasing fuel. Guinea-Bissau has not always been able to make use of assistance available, especially when aid agencies or non-governmental organisations require matching local funds for their projects.In irregular fashion, the country has been receiving about $50m a year from multilateral and bilateral sources. It is now looking at least to double this flow.The government's poverty reduction strategy sets out financing needs over the next three years of $441m, covering mainly capital spending programmes. Just under 20 per cent is already accounted for, leaving a funding gap of $354m. This is without counting the cost of reforming the armed forces and police, which will also require donor money.International officials expect there to be broad support for the programme at the Geneva meeting, but the level of new funding remains uncertain. The government, they say, has set its financial targets high, and some parts of the programme may run beyond the three-year time frame.Prospects for a sharp increase in backing are pegged to the government's blueprint for military reform, which is designed to renew donors' confidence about the political outlook, and the economic policy framework presented in the latest annual budget.'We are fairly confident that the international community is sensitive to our programme,' says Issufo Sanha, economy minister.If the meeting is a success, it will be seen as a significant step towards normalisation.Oer the years, the country has suffered from donor fatigue as former supporters became disenchanted. The government is hoping to recover their backing, especially for the security sector. Among the main donors, the World Bank has projects devoted to HIV/Aids and other health issues, a broad infrastructure programme and rehabilitation of the private sector. The African Development Bank has stepped up its involvement with projects of $8m each in agriculture and new mooring facilities for fishing boats.The European Commission has concentrated mainly on infrastructure, with the emphasis moving from roads to energy. France and Portugal are the only EU countries with embassies in Bissau, the former focusing on health and governance and the latter also involved in education and capacity-building. As part of the Community of Portuguese-Speaking Countries, Brazil is also playing an increasing role.Alongside this aid, Guinea-Bissau has been receiving significant assistance from China, following a breach in relations between 1990 and 1998, when the country dealt with Taiwan instead. The Chinese have big interests in fishing and are seen as potential partners for oil. Aid projects have included the renovation and staffing of a hospital at Canchungo in the north-west. In the capital, a prominent new parliament building, completed last year, stands as a conspicuous symbol of China's support. Ministers say the Chinese are now also helping to provide military housing and are due to deliver new government offices.At a time when western partners are seeking a co-ordinated approach and exerting pressure for more rigorous economic management, the country's arrangements with China are the subject of some speculation.President Joao Bernardo Vieira says the government sees relations with China as complementary to western donors, arguing that 'countries such as China and Brazil have technologies adapted to our level of development'. ","Military","","","Pipeline/identification","1","Foreign direct investment (no public support)","Guinea-Bissau","http://global.factiva.com/aa/?ref=FTCOM00020061031e2au00031&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=FTCOM00020061031e2au00031&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","","","","","","","","","","1","Guinea-Bissau","404","244","Guinea-Bissau","GNB","GW","624","654","Commercial","1","false","false","false","","","","",""
"840","China","Kenyan debt cancelled (duplicate with ID: 1019)","2001","false",">'China announced yesterday it will write off over half of debt owed by the government.>> >>The two governments yesterday signed a protocol under which China agreed to write off 1.08bn shillings equivalent to 55 per cent of the total debt owed to China.>> >>Finance Minister Mr Chris Okemo, and visiting Chinese Vice Minister for Foreign Trade and Economic Cooperation Mr Sun Zhenyu, signed the pact.>> >>The governments also signed two other bilateral agreements, one in which China provided a concessional loan of RMB [renminbi] 50m (approximately 479m shillings) for the construction of Kipsigak-Serem-Shamakhokho road [western Kenya].>> >>China had extended a similar amount of funds in December 99 for the construction of the road which is expected to cost about 900m shillings.>> >>Okemo said the debt relief was a timely gesture coming at a time when the government is trying to cut its external debt to a manageable level.>> >>'Kenya's total debt stock currently is Sh371,527m shillings which is about 45 per cent of the GDP, a situation that poses serious implications for achieving the appropriate level of investment necessary for accelerating economic growth,' Okemo said. '>","Unset","","","Completion","3","Debt forgiveness","Kenya","http://global.factiva.com/aa/?ref=bbcap00020010802dx7h002s1&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , Recipient media or official","1","","","","","","","Raw","0","ODA-like","2","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=bbcap00020010802dx7h002s1&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , Recipient media or official","1000000000.0","KES","0.60138952444015","78.563195","21165328.05","","","","","1","Kenya","501","248","Kenya","KEN","KE","404","664","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"879","China","PPIAF - CNPC agreement with Chad refinery (duplicate #209)","2011","false","In January 2012, the agreement was suspended due to disagreements between China and Chad about fuel prices. (PPIAF) CNPC agreement with Chad refinery; PPIAF-ID:402See project #209","Infrastructure, Energy and Mining","Oil","","Suspended","4","Unset","Chad","http://news.cf8.com.cn/news/20090930/119139.shtml             ; ppiaf_consultant             ; http://www.reuters.com/article/2012/01/24/chad-china-refinery-idUSL5E8CO3BR20120124       , Google US      , International media report; http://af.reuters.com/article/topNews/idAFJOE80R03L20120128       , Google US      , International media report; http://www.cnpc.com.cn/en/press/Features/chad_project.htm       , Google US      , Non-media; http://www.ftchinese.com/story/001029015             ","6","China National Petroleum Corporation (CNPC), State-Owned Company","China National Petroleum Corporation (CNPC), State-Owned Company","China National Petroleum Corporation (CNPC), State-Owned Company","1","","","Checked","1","Vague (Official Finance)","5","Unset","","Inactive","2","http://news.cf8.com.cn/news/20090930/119139.shtml         , Factiva        ; ppiaf_consultant         , Factiva        ; http://www.reuters.com/article/2012/01/24/chad-china-refinery-idUSL5E8CO3BR20120124         , Factiva        , International media report; http://af.reuters.com/article/topNews/idAFJOE80R03L20120128         , Factiva        , International media report; http://www.cnpc.com.cn/en/press/Features/chad_project.htm         , Factiva        , Non-media; http://www.ftchinese.com/story/001029015         , Factiva        ","","","","","","","","","","1","Chad","483","232","Chad","TCD","TD","148","628","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"891","China","New government offices (Inactive: Same as #740)","2006","false","No African country is waiting with greater anxiety for firm commitments on increased international aid than Guinea-Bissau. A meeting scheduled next week in Geneva with all its main donors will be a make-or-break moment for the country - its chance to secure reliable funding to underpin an overdue economic recovery.The meeting has repeatedly been put back because of domestic political events. The last time a Guinea-Bissau government managed to obtain a package of donor pledges was in 1999, in the aftermath of destructive civil conflict. An agreement was then made with the International Monetary Fund, but it fell through in 2001 because of slippages in the government's engagements.An emergency post-conflict deal was expected at the end of last year. But then came another setback - the unexpected decision by newly-elected President Joao Bernardo 'Nino' Vieira to sack the government. The donors' meeting was postponed once more.Guinea-Bissau, one of a dozen countries in the world that have stayed in the World Bank's category of fragile states for the last four years, is back to the same point it was at just over a year ago. The International Monetary Fund is ready to give the go-ahead for its special post-conflict assistance. This will be a signal for other aid, starting with $10m of budget support which the government has already negotiated with the World Bank.Oer the past few years, European and regional partners have had to come to the rescue with exceptional one-off help to meet essential needs such as paying wage bills and purchasing fuel. Guinea-Bissau has not always been able to make use of assistance available, especially when aid agencies or non-governmental organisations require matching local funds for their projects.In irregular fashion, the country has been receiving about $50m a year from multilateral and bilateral sources. It is now looking at least to double this flow.The government's poverty reduction strategy sets out financing needs over the next three years of $441m, covering mainly capital spending programmes. Just under 20 per cent is already accounted for, leaving a funding gap of $354m. This is without counting the cost of reforming the armed forces and police, which will also require donor money.International officials expect there to be broad support for the programme at the Geneva meeting, but the level of new funding remains uncertain. The government, they say, has set its financial targets high, and some parts of the programme may run beyond the three-year time frame.Prospects for a sharp increase in backing are pegged to the government's blueprint for military reform, which is designed to renew donors' confidence about the political outlook, and the economic policy framework presented in the latest annual budget.'We are fairly confident that the international community is sensitive to our programme,' says Issufo Sanha, economy minister.If the meeting is a success, it will be seen as a significant step towards normalisation.Oer the years, the country has suffered from donor fatigue as former supporters became disenchanted. The government is hoping to recover their backing, especially for the security sector. Among the main donors, the World Bank has projects devoted to HIV/Aids and other health issues, a broad infrastructure programme and rehabilitation of the private sector. The African Development Bank has stepped up its involvement with projects of $8m each in agriculture and new mooring facilities for fishing boats.The European Commission has concentrated mainly on infrastructure, with the emphasis moving from roads to energy. France and Portugal are the only EU countries with embassies in Bissau, the former focusing on health and governance and the latter also involved in education and capacity-building. As part of the Community of Portuguese-Speaking Countries, Brazil is also playing an increasing role.Alongside this aid, Guinea-Bissau has been receiving significant assistance from China, following a breach in relations between 1990 and 1998, when the country dealt with Taiwan instead. The Chinese have big interests in fishing and are seen as potential partners for oil. Aid projects have included the renovation and staffing of a hospital at Canchungo in the north-west. In the capital, a prominent new parliament building, completed last year, stands as a conspicuous symbol of China's support. Ministers say the Chinese are now also helping to provide military housing and are due to deliver new government offices.At a time when western partners are seeking a co-ordinated approach and exerting pressure for more rigorous economic management, the country's arrangements with China are the subject of some speculation.President Joao Bernardo Vieira says the government sees relations with China as complementary to western donors, arguing that 'countries such as China and Brazil have technologies adapted to our level of development'. ","Government and Social Services","","","Pipeline/identification","1","Loan (excluding debt rescheduling)","Guinea-Bissau","http://global.factiva.com/aa/?ref=FTCOM00020061031e2au00031&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","","","","","","","Checked","1","ODA-like","2","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=FTCOM00020061031e2au00031&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","","","","","","","","","","1","Guinea-Bissau","404","244","Guinea-Bissau","GNB","GW","624","654","Not Commercial","2","false","false","false","","","","",""
"890","China","Tariff Exemption","2005","false","In a February 2006 news report, China's Vice Minister of Commerce Wei Jianguo  was cited as saying that from January 1, 2005 China had begun to exempt tariffs on some products imported from Portuguese-speak countries in Africa. A 2005 article published by the People's Daily verifies that Guinea-Bissau did receive some of these tariff exemptions, but it does not comment on the scope of the exemptions.  STAFF_NOTES: Preferential trade agreements are not counted as official or unofficial development finance, and so this record has been deactivated.","Trade, Tourism, Banking and Financial Services","","330","Completion","3","Export credits","Guinea-Bissau","http://global.factiva.com/aa/?ref=XNEWS00020060227e22r003v1&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , Donor media or official; http://english.peopledaily.com.cn/200501/18/eng20050118_170967.html       , Google US      , Donor media or official","2","","","","","","","Checked","1","OOF-like","3","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=XNEWS00020060227e22r003v1&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , Donor media or official; http://english.peopledaily.com.cn/200501/18/eng20050118_170967.html         , Factiva        , Donor media or official","","","","","","01 January 2005","","","","1","Guinea-Bissau","404","244","Guinea-Bissau","GNB","GW","624","654","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"849","China","Manganese deal- duplicate with 851","2009","false","ABIDJAN (Dow Jones)--Iory Coast state mining company, Sodemi signed a partnership agreement Wednesday with China National Geological   Mining Corp., or CGM, to develop a state manganese ore mine in the southwest.According to the director-general of Sodemi, Jean Likane-Yagui, the partnership with CGM will boost production at the Lauzoua site from the current 150,000 to 200,000 metric tons to 300,000 tons by 2011, and 500,000 tons by 2013.'China represents our main market for manganese ore at the moment, so it was only logical to work with a Chinese mining company,' said Likane-Yagui.Sodemi says the site has certified reserves of 1.4 million tons.The partnership deal gives 51% to Sodemi, 39% to CGM and 10% to the state.The agreement will also see the construction of a ferromanganese factory at the site with an initial capacity of 50,000 tons per year, with the possibility of an extension to 165,000 tons.'This signature shows the interest international investors have in our country as we leave behind the years of civil war. Iory Coast is open to all investors to exploit the riches of our mineral reserves,' said Minister of Mines and Energy Leon Monnet.Trade with China has more than doubled, from 50 billion CFA francs, or $112.6 million, to 112 billion CFA francs in 2008.Chinese companies are particularly active in transport and construction, with various building projects including a new presidential palace in the capital Yamoussoukro and a new hospital in President Laurent Gbagbo's hometown, Gagnoa.The other main manganese mine is in the northeast at Bondoukou and run by the Indian firm Taurian.So far this year, Iory Coast has exported 74,822 metric tons of manganese ore, down 32,176 tons, or 30%, from the 106,998 tons shipped up to this point last year, according to official port data.Iory Coast is the world's top cocoa producer, but the minerals and hydrocarbons sector is increasingly important.","Infrastructure, Energy and Mining","","","Pipeline/identification","1","Joint venture with recipient","Cote D'Ivoire","http://global.factiva.com/aa/?ref=DJCS000020090923e59n000ac&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , International media report","1","","","China National Geological & Mining Corporation (CGM), State-Owned Company","1","Societe pour le Developpement Minier de la Cote d'Ivoire (SODEMI), State-Owned Company","1","Raw","0","Vague (Official Finance)","5","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=DJCS000020090923e59n000ac&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , International media report","","","","","","","","","","1","Cote D'Ivoire","437","247","Cote D'Ivoire","CIV","CI","384","662","Commercial","1","false","false","false","Unset","Unset","Unset","Unset","Unset"
"899","China","Reduction of debt (duplicate of 800)","2000","false","Text of report in English by official Chinese news agency Xinhua (New China News Agency)Beijing, 11th October: African ministers attending the on-going China-Africa Cooperation Forum here today welcomed China's decision to reduce or exempt 1.2bn US dollars-worth of debt owed to China by some African countries.The debt-relief programme is expected to be carried out within two years, said foreign trade minister Shi Guangsheng, who announced the decision of the Chinese government earlier today. Lila Ratsifandriamanana, minister of foreign affairs of Madagascar, said for years China has helped the African nation with projects involving sugar, medicare, agriculture and housing.She also said Madagascar and other African countries are grateful for China's move to cut their foreign debt. Sama Siama Banya, minister of foreign affairs and international cooperation in Sierra Leone, said his country has been servicing external debt at the cost of developing the economy.After wars and conflicts, he said, Sierra Leone urgently needs capital for economic recovery, and is delighted at China's debt-relief endeavour.China established diplomatic ties with Sierra Leone in 1971. Since then, Banya said, China has never imposed its will on Sierra Leone.Bonaya Godana, Kenyan minister of foreign affairs and international cooperation, said external debt has been a heavy burden on Africa. Many countries spend 30 per cent of their revenue repaying debt, thus affecting the development of education, medicare and social welfare.He said Kenya hopes the international community, especially developed countries, make more commitments to alleviating the debt of Africa.Augustin Kontchou Kouomegni, minister of state for foreign relations of Cameroon, said slave trade and colonialism has put Africa in a disadvantageous position. He noted that the average yearly income of people in sub-Saharan countries is only 500 US dollars per capita.With rising debt, trade deficit and decrease of international assistance, African countries risk being marginalized during the course of economic globalization, he said.He said China has been providing huge aid to African countries, and Africa sincerely thanks China for doing this. Andre Bumaya, minister of foreign affairs of Rwanda, said China has always sided with African countries regardless of changes in international politics.Bumaya said Rwanda is thankful to China, and that the forum has injected new vitality into China-Africa relations. Source: Xinhua news agency, Beijing, in English 1258 gmt 11 Oct 00.","Debt Relief","","600","Completion","3","Debt forgiveness","Madagascar","http://global.factiva.com/aa/?ref=bbcapp0020010804dwab00ba7&pp=1&fcpil=en&napc=S&sa_from=       , Factiva      , Donor media or official","1","","","","","","","Raw","0","ODA-like","2","Unset","","Inactive","2","http://global.factiva.com/aa/?ref=bbcapp0020010804dwab00ba7&pp=1&fcpil=en&napc=S&sa_from=         , Factiva        , Donor media or official","","","","","","11 October 2000","","11 October 2000","","1","Madagascar","580","252","Madagascar","MDG","MG","450","674","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
