"project_id"	"source_id"	"headline"	"agency"	"date"
2017	3955	"A Lot to Reap From Sino-Rwanda Relations [editorial]"	"All Africa"	"27 January 2010"
16311	5465	"A meeting of minds - and needs"	"African Business"	"1 July 2006"
938	1973	"A reward for excellent promotion of foreign aid projects"	"Industry Updates"	"5 February 2007"
17777	5738	"A rising China counters US clout in Africa ; Trade drives political role ahead of Zimbabwe's election."	"The Christian Science Monitor"	"30 March 2005"
17771	5735	"A rising China counters US clout in Africa ; Trade drives political role ahead of Zimbabwe's election."	"The Christian Science Monitor"	"30 March 2005"
13233	5097	"A wave of Sino-Guineans arrive"	"The Indian Ocean Newsletter"	"22 January 2011"
757	1653	"A wave of Sino-Guineans arrive"	"The Indian Ocean Newsletter"	"22 January 2011"
1734	3457	"A-G Files Defence In the Matter of 31st Dwm Vs Nvti"	"All Africa"	"13 December 2005"
2012	3947	"A-Link Technologies to Assemble Laptops, Radios"	"All Africa"	"26 March 2009"
1434	2889	"Abuja Industrialists Plan Chinese Village."	"Africa News Service"	"27 May 2002"
13653	5151	"Abuja, China Sign 5 Agreements."	"Africa News Service"	"17 April 2002"
1419	2855	"Abuja, China Sign 5 Agreements."	"Africa News Service"	"17 April 2002"
1479	2971	"Accra - Amsterdam Cooperation."	"All Africa"	"24 October 2002"
1478	2966	"Addo-Kufour Commissions New Barracks"	"All Africa"	"16 March 2004"
1476	2962	"Addo-Kufour Commissions New Barracks"	"All Africa"	"16 March 2004"
1781	3537	"Addo-Kufuor Proves Point as He Secures Grant for 4-Storey Building for MoD"	"All Africa"	"24 April 2007"
743	1624	"AF GEN China in Africa"	"Associated Press Newswires"	"4 January 2007"
12507	5042	"AF GEN China in Africa"	"Associated Press Newswires"	"4 January 2007"
745	1628	"AF GEN China in Africa"	"Associated Press Newswires"	"4 January 2007"
747	1631	"AF GEN China in Africa"	"Associated Press Newswires"	"4 January 2007"
16216	5442	"Africa Feature: China, Africa tied by sports"	"Xinhua News Agency"	"17 October 2006"
23098	6631	"Africa Focus: China gradually fulfills pledges to benefits of Africans"	"Xinhua's China Economic Information Service"	"7 November 2007"
313	771	"Africa Focus: China gradually fulfills pledges to benefits of Africans"	"Xinhua's China Economic Information Service"	"7 November 2007"
1759	3502	"Africa Focus: China-Africa agricultural cooperation reaches new heights"	"Xinhua's China Economic Information Service"	"7 November 2007"
1621	3240	"Africa Focus: Liberia-China ties grow steadily and stronger: Liberian President"	"Xinhua News Agency"	"28 September 2006"
1033	2144	"Africa to Acquire Biological Anti-Malaria Technology"	"All Africa"	"17 November 2003"
2261	4379	"AFRICA: CHINESE AID BRINGING SMILES TO SIERRA LEONE FARMERS"	"Inter Press Service"	"25 October 2010"
1209	2504	"Africa: from famine to the world's next breadbasket?"	"The Christian Science Monitor"	"17 December 2009"
1211	7118	"Africa: from famine to the world's next breadbasket?"	"The Christian Science Monitor"	"17 December 2009"
1384	2801	"Africa's Kuwait"	"African Business"	"1 December 2001"
2381	4597	"Africa's Kuwait"	"African Business"	"1 December 2001"
122	289	"Africa's Kuwait"	"African Business"	"1 December 2001"
11939	4968	"Africa's resources draw China back Hu to visit 8 countries to complete trade and loan deals"	"International Herald Tribune"	"1 February 2007"
309	764	"Africa's resources draw China back Hu to visit 8 countries to complete trade and loan deals"	"International Herald Tribune"	"1 February 2007"
298	742	"Africa's resources draw China back Hu to visit 8 countries to complete trade and loan deals"	"International Herald Tribune"	"1 February 2007"
310	766	"Africa's resources draw China back Hu to visit 8 countries to complete trade and loan deals"	"International Herald Tribune"	"1 February 2007"
1001	2089	"Africa's resources draw China back Hu to visit 8 countries to complete trade and loan deals"	"International Herald Tribune"	"1 February 2007"
18910	5928	"African largest glass center under construction in Zimbabwe"	"Xinhua News Agency"	"20 November 2006"
18903	5927	"African largest glass center under construction in Zimbabwe"	"Xinhua News Agency"	"20 November 2006"
899	1915	"African ministers welcome China's debt-relief move."	"BBC Monitoring Asia Pacific - Political"	"11 October 2000"
256	671	"African Uranium: Near-Term Projects May Boost Production"	"Uranium Intelligence Weekly"	"5 October 2009"
1167	2438	"Agreements Reached With Chinese Companies"	"All Africa"	"5 June 2006"
1169	2441	"Agreements Reached With Chinese Companies"	"All Africa"	"5 June 2006"
1168	2439	"Agreements Reached With Chinese Companies"	"All Africa"	"5 June 2006"
1168	2440	"Agreements Reached With Chinese Companies"	"All Africa"	"5 June 2006"
939	1974	"Agriculture"	"Economist Intelligence Unit - Business China"	"12 February 2007"
20216	6175	"Agriculture Demonstration Centre Nears Completion"	"All Africa"	"20 July 2010"
18810	5903	"Agriculture Ministry Faces Shortage of Tractors"	"All Africa"	"6 October 2006"
2173	4244	"Aid team leaves Togo early after being robbed"	"South China Morning Post"	"19 July 2005"
17458	5673	"Air Zimbabwe to acquire aircraft from China"	"Xinhua News Agency"	"12 July 2004"
358	870	"Algeria Telecom signs three contracts with Chinese companies."	"Middle East and North Africa Today"	"24 September 2002"
330	805	"Algeria, China sign five cooperation agreements"	"BBC Monitoring Middle East"	"4 February 2004"
22450	6584	"Algeria, China sign five cooperation agreements"	"BBC Monitoring Middle East"	"4 February 2004"
331	810	"ALGERIA: Joint venture construction contract award for planned $7,000,000,000 road construction project, CITIC GROUP &amp; CHINA RAILWAY CONSTRUCTION CORP. (CRCC) [China] Order #: 060106."	"WWP-Business Opportunities in Africa &amp; the Middle East""http://www.citic.com  [http://www.citic.com]""http://www.crccg.com  [http://www.crccg.com]""http://www.chinarailway.com.hk/en  [http://www.chinarailway.com.hk/en]""http://earth.google.com  [http://earth.google.com]""http://buyusainfo.net/index.cfm  [http://buyusainfo.net/index.cfm]""http://en.wikipedia.org  [http://en.wikipedia.org]""http://library.yale.edu/socsci/emerge/bigten.html  [http://library.yale.edu/socsci/emerge/bigten.html]""http://gksoft.com/govt/en  [http://gksoft.com/govt/en]""http://embassy.org/embassies  [http://embassy.org/embassies]""http://uschamber.com/international/directory/default.htm  [http://uschamber.com/international/directory/default.htm]""http://usembassy.state.gov  [http://usembassy.state.gov]""http://exim.gov  [http://exim.gov]""http://tda.gov  [http://tda.gov]""http://ifc.org  [http://ifc.org]""http://opic.gov  [http://opic.gov]""http://xe.com.ucc  [http://xe.com.ucc]"	"1 June 2006"
17	32	"Algeria: Transport and communications"	"Economist Intelligence Unit - ViewsWire"	"1 September 2004"
14342	5223	"All is Set for Namboole Refurbishment"	"All Africa"	"12 July 2010"
518	1209	"Allow Private Sector to Get Infrastructure On Track [opinion]"	"All Africa"	"16 May 2008"
706	1554	"American Embassy's National Daily Press Review"	"All Africa"	"16 March 2007"
20195	6166	"American Embassy's National Daily Press Review"	"All Africa"	"3 September 2008"
716	1576	"American Embassy's National Daily Press Review"	"All Africa"	"3 September 2008"
717	1578	"American Embassy's National Daily Press Review"	"All Africa"	"3 September 2008"
718	1580	"American Embassy's National Daily Press Review"	"All Africa"	"3 September 2008"
12837	5063	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
634	1421	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
1512	3021	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
18302	5825	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
478	1124	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
12831	5060	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
734	1606	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
23431	6691	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
15270	5316	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
1712	3416	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
395	936	"Analysis: Chinese influence on African media"	"BBC Monitoring Media""www.cri.cn  [http://www.cri.cn]"	"7 December 2005"
1252	2573	"Analysis: Chinese space exploration"	"NPR: Talk of the Nation/Science Friday"	"17 October 2003"
1694	3379	"Analysts see domino effect in Senegal's siding with Beijing"	"Agence France Presse"	"26 October 2005"
63	144	"Angola And China Sign Cooperation Agreements"	"All Africa"	"25 February 2005"
6	13	"Angola Receives Aid From China."	"Xinhua News Agency"	"17 May 2001"
54	131	"Angola Seals US$2 bil. Chinese Loan"	"Global Insight Daily Analysis"	"17 May 2005"
67	157	"Angola wins new billion-dollar loan from China"	"Agence France Presse"	"12 March 2009"
4	10	"Angola, China sign economic, commercial protocols."	"BBC Monitoring Africa - Economic"	"24 May 2001"
22413	6580	"Another Chinese Firm at Chiadzwa"	"All Africa"	"14 March 2011"
691	1526	"Asia Beat"	"Power in Asia"	"3 March 2011"
509	1197	"Asian economic and corporate news summary"	"AFX Asia"	"31 August 2005"
1138	2357	"Asian Firms Flock to Country in Search of Big Deals"	"All Africa"	"31 March 2008"
1866	3689	"Asian firms tie power plant deals; While much of the rest of the world is contemplating melt-down, some Asian countries are chasing overseas upstream and midstream assets. The host country welcomes the vote of confidence while the buyer establishes a foothold."	"International Gas Report"	"11 May 2009"
1731	3454	"At Long Last -China Begins Renovation"	"All Africa"	"7 December 2010"
15457	5343	"Authorities in Niger Sign Power Supply Deal with China"	"Global Insight Daily Analysis"	"8 July 2008"
1958	3850	"Authorities Plan Extension of Hydroelectric Power Provision in Ghana"	"Global Insight Daily Analysis"	"9 September 2008"
1766	3514	"Authorities Plan Extension of Hydroelectric Power Provision in Ghana"	"Global Insight Daily Analysis"	"9 September 2008"
623	1397	"Backgrounder - Review of Sino-Gabonese relations."	"Xinhua News Agency"	"20 January 2004"
1508	3017	"Backgrounder: China-Mali ties in continuous development"	"Xinhua News Agency"	"11 February 2009"
1505	3014	"Backgrounder: China-Mali ties in continuous development"	"Xinhua News Agency"	"11 February 2009"
1507	3016	"Backgrounder: China-Mali ties in continuous development"	"Xinhua News Agency"	"11 February 2009"
1504	3013	"Backgrounder: China-Mali ties in continuous development"	"Xinhua News Agency"	"11 February 2009"
1503	3012	"Backgrounder: China-Mali ties in continuous development"	"Xinhua News Agency"	"11 February 2009"
1506	3015	"Backgrounder: China-Mali ties in continuous development"	"Xinhua News Agency"	"11 February 2009"
765	1673	"Ban lauds cooperation among nations to tackle crises"	"India Blooms News Service"	"20 December 2011"
2316	4476	"Banda Launches $400 Million Kariba Power Project"	"All Africa"	"9 March 2009"
354	862	"Banda Launches $400 Million Kariba Power Project"	"All Africa"	"9 March 2009"
2321	4491	"Banda Launches $400 Million Kariba Power Project"	"All Africa"	"9 March 2009"
1431	2886	"Bank Of China To Invest In Nigeria."	"All Africa"	"4 February 2002"
18	35	"Bank Provides Loan to Benin"	"AsiaPort Daily News: China Information News"	"21 March 2000"
11513	4919	"Baosteel Has interests in Simandou Iron Ore Project"	"SinoCast Energy Beat"	"23 May 2011"
191	512	"Baosteel Has interests in Simandou Iron Ore Project"	"SinoCast Energy Beat"	"23 May 2011"
1089	2245	"Baraka Petroleum finds new partner in Chinese gas giant"	"Australian Associated Press Financial News Wire"	"29 June 2005"
92	207	"Baraka Petroleum finds new partner in Chinese gas giant"	"Australian Associated Press Financial News Wire"	"29 June 2005"
643	1437	"Barry Callebaut To Set Up Cocoa Factory In Ghana"	"Dow Jones Commodities Service"	"15 November 2000"
1692	3374	"Barry Callebaut To Set Up Cocoa Factory In Ghana"	"Dow Jones Commodities Service"	"15 November 2000"
11859	4963	"BDP Gets Chinese Windfall"	"All Africa"	"7 September 2006"
33	75	"BDP Gets Chinese Windfall"	"All Africa"	"7 September 2006"
191	506	"Behind the wrangle for Guinea's minerals"	"Financial Times"	"6 July 2010"
13003	5082	"Behind the wrangle for Guinea's minerals"	"Financial Times"	"6 July 2010"
13010	5085	"Behind the wrangle for Guinea's minerals"	"Financial Times"	"6 July 2010"
11513	4917	"Behind the wrangle for Guinea's minerals"	"Financial Times"	"6 July 2010"
11525	4925	"Behind the wrangle for Guinea's minerals"	"Financial Times"	"6 July 2010"
1046	2168	"BEIJING"	"South China Morning Post"	"19 November 2005"
2293	4440	"BEIJING"	"South China Morning Post"	"28 October 2003"
196	539	"Beijing Bankrolls Big Three's Overseas Adventure"	"Energy Intelligence Finance"	"7 November 2006"
1836	3633	"Beijing Bankrolls Big Three's Overseas Adventure"	"Energy Intelligence Finance"	"7 November 2006"
1086	2239	"Beijing delivered missile technology to Libya, U.S. says"	"The Washington Times"	"13 April 2000"
1083	2235	"Beijing delivered missile technology to Libya, U.S. says"	"The Washington Times"	"13 April 2000"
24410	6753	"Beijing delivered missile technology to Libya, U.S. says"	"The Washington Times"	"13 April 2000"
2086	4084	"Beijing pips Taiwan as Senegal supports One China principle"	"Agence France Presse"	"25 May 2010"
2087	4085	"Beijing pips Taiwan as Senegal supports One China principle"	"Agence France Presse"	"25 May 2010"
241	629	"Beijing to Finance Mpanda Nkuwa"	"Africa Energy Intelligence"	"27 May 2009"
1164	2432	"Beijing to Finance Mpanda Nkuwa"	"Africa Energy Intelligence"	"27 May 2009"
1164	7269	"Beijing to Finance Mpanda Nkuwa"	"Africa Energy Intelligence"	"27 May 2009"
1208	2501	"Beijing to Finance Mpanda Nkuwa"	"Africa Energy Intelligence"	"27 May 2009"
1207	2500	"Beijing to Finance Mpanda Nkuwa"	"Africa Energy Intelligence"	"27 May 2009"
661	1462	"Beijing, Sept 30 (PTI) China has donated 150,000 US dollars for the demarcation of Ethiopia-Sudan border, state media reported today."	"The Press Trust of India Limited"	"30 September 2005"
1694	3378	"Beijing's ties; with Senegal; resume after; 10-year gap"	"South China Morning Post"	"26 October 2005"
15563	5351	"Bellzone gets Chinese funding for Guinea iron ore project"	"www.steelbb.com [http://www.steelbb.com]"	"25 May 2010"
11525	4930	"Bellzone gets Chinese funding for Guinea iron ore project"	"www.steelbb.com [http://www.steelbb.com]"	"25 May 2010"
11525	4927	"Bellzone Mining PLC CIF Strategic Investment and Proposed Fundraising"	"Regulatory News Service"	"1 March 2011"
15563	5350	"Bellzone Mining PLC Forecariah project update"	"Regulatory News Service"	"31 January 2011"
11525	4928	"Bellzone Mining PLC Forecariah project update"	"Regulatory News Service"	"31 January 2011"
43	97	"Beninese president meets Chinese assistant FM on ties"	"Xinhua News Agency"	"26 March 2009"
22204	6544	"Bid to Derail Defence Project Flops"	"All Africa"	"1 June 2011"
949	1993	"Big Leap in China Ties"	"All Africa"	"19 January 2007"
2388	4611	"Bilma block seeing seismic activity from Chinese giant"	"www.upstreamonline.com [http://www.upstreamonline.com]"	"19 January 2007"
1300	2670	"Blankets for Vulnerable Groups"	"All Africa"	"13 July 2006"
20429	6214	"Boost for Tourism Sector"	"All Africa"	"14 October 2009"
22	48	"Botswana Gets Loan from China"	"LiquidAfrica Holding Limited"	"8 December 2004"
688	1513	"Botswana Gets Loan from China"	"LiquidAfrica Holding Limited"	"8 December 2004"
25	58	"Botswana Gets Loan from China"	"LiquidAfrica Holding Limited"	"8 December 2004"
21	46	"Botswana Gets Loan from China"	"LiquidAfrica Holding Limited"	"8 December 2004"
23	53	"Botswana Gets Loan from China"	"LiquidAfrica Holding Limited"	"8 December 2004"
16829	5578	"Botswana power plant hopes to supply SA"	"Daily News"	"20 July 2009"
40	93	"Botswana signs economic, energy agreements with China"	"BBC Monitoring Africa"	"24 November 2010"
305	755	"Botswana signs economic, energy agreements with China"	"BBC Monitoring Africa"	"24 November 2010"
304	754	"Botswana signs economic, energy agreements with China"	"BBC Monitoring Africa"	"24 November 2010"
30	69	"Botswana, China Hold Bilateral Talks"	"All Africa"	"28 November 2005"
1537	3055	"Boustead 1H Pretax Losses GBP0.169M Vs GBP0.166M"	"Dow Jones International News"	"22 December 2004"
640	1430	"Bribery helps China buy new friends overseas"	"www.theage.com.au [http://www.theage.com.au]""www.michaelbackman.com   [http://www.michaelbackman.com]"	"26 April 2007"
539	1250	"Brokerage licenses put on hold"	"China Economic Review"	"1 October 2006"
12127	4980	"Building of President's Office Starts"	"All Africa"	"22 May 2009"
916	1941	"Building on ties, China-Madagascar trade flourishes"	"Reuters News"	"23 November 2005"
290	730	"Burundi receives 3.6m-dollar grant from China."	"BBC Monitoring Africa"	"3 July 2003"
280	713	"Burundi, China sign economic agreement."	"BBC Monitoring Africa - Economic"	"28 March 2001"
299	743	"Burundi: China donates military tents to army"	"BBC Monitoring Africa"	"6 December 2006"
292	732	"Burundi: Visiting Chinese delegation pledges assistance to hospital"	"BBC Monitoring Africa"	"15 September 2005"
12194	4992	"Burundi: Visiting Chinese delegation pledges assistance to hospital"	"BBC Monitoring Africa"	"15 September 2005"
319	789	"Burundian PM on new dynamic in relationship with China"	"BBC Monitoring Asia Pacific"	"11 October 2007"
898	1914	"Business deals come ahead of historical China-Africa summit"	"Xinhua News Agency"	"3 November 2006"
1735	3459	"Businessman Flags Bamboo As a 'Golden Grass'"	"All Africa"	"30 January 2006"
2462	4752	"Cabinet Endorses 10 Million Dollars Loan Agreement With Chinese Bank for Exports And Imports"	"All Africa"	"21 January 2011"
269	694	"Cameroonian president meets Chinese premier."	"Xinhua News Agency"	"30 August 2002"
372	894	"Cape Verde recognizes China's market economy status"	"Xinhua News Agency"	"17 July 2007"
11391	4887	"Car Assembly Plant Starts Next Year"	"All Africa"	"22 November 2007"
2106	4118	"CDB grants 1.5 mln dollars to African management school project"	"Xinhua News Agency"	"5 November 2011"
662	1463	"CDB opens first Egypt office"	"China Banking"	"12 November 2009"
1405	2829	"CECEP Won Bid of Road Project in Lesotho"	"SinoCast Transportation Beat"	"12 October 2011"
2330	4504	"Cement - Dangote Seals U.S.$400 Million Deal With Zambia"	"All Africa"	"13 December 2010"
22232	6551	"Cement Plant for Masvingo"	"All Africa"	"24 May 2011"
379	905	"Central African Republic: China Donates US $4 Million Equipment"	"All Africa"	"7 July 2004"
378	903	"Central African Republic: China Donates US $4 Million Equipment"	"All Africa"	"7 July 2004"
723	1585	"CETU Receives Chinese Counterpart Donation"	"All Africa"	"10 August 2006"
1013	7175	"CGC Bolsters Position in Nigeria"	"Africa Energy Intelligence"	"10 December 2008"
400	948	"Chad and China sign $257 million economic package deal"	"Associated Press Newswires"	"27 September 2007"
397	941	"Chad and China sign $257 million economic package deal"	"Associated Press Newswires"	"27 September 2007"
401	949	"Chad and China sign $257 million economic package deal"	"Associated Press Newswires"	"27 September 2007"
396	937	"Chad and China sign $257 million economic package deal"	"Associated Press Newswires"	"27 September 2007"
398	943	"Chad and China sign $257 million economic package deal"	"Associated Press Newswires"	"27 September 2007"
1424	2874	"Challenges Facing Sports."	"All Africa"	"17 December 2002"
388	923	"Change in anti-Taipei diplomacy"	"The China Post"	"15 January 2006"
427	1002	"Change in anti-Taipei diplomacy"	"The China Post"	"15 January 2006"
12776	5057	"Change in anti-Taipei diplomacy"	"The China Post"	"15 January 2006"
16855	5582	"Chery, JAC, Chang'an Auto Eye on Overseas Markets"	"SinoCast Transportation Beat"	"23 July 2009"
2204	4285	"CHINA - Aid to Uganda 'misused'."	"China Economic Review"	"28 February 2000"
2205	4286	"CHINA - Aid to Uganda 'misused'."	"China Economic Review"	"28 February 2000"
50	110	"CHINA - Government promises aid for Angola."	"China Economic Review"	"2 September 2002"
152	380	"CHINA - Government promises aid for Angola."	"China Economic Review"	"2 September 2002"
862	1858	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
148	370	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
863	1859	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
716	1575	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
132	315	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
90	202	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
13512	5142	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
861	1856	"China ""deeply involved"" in fighting poverty in Cote d'Ivoire"	"BBC Monitoring Asia Pacific"	"16 August 2011"
1108	2291	"China ""relaxes"" 7.4m dollars of Mozambique's debt"	"BBC Monitoring Asia Pacific"	"8 July 2005"
2366	6994	"China Adds Festivity to 50th Anniversary"	"Africa Mining Intelligence"	"8 October 2008"
45	101	"China Africa Fund Buys in HK-listed Hua Lien; Ethanol Biofuel Production in the Pipeline"	"Greater China Private Equity Review Daily"	"3 February 2010"
1617	3225	"China Again! -Turns Over US$5.5M Barracks"	"All Africa"	"30 April 2009"
1256	2583	"China Agrees N$22,3m Loan"	"All Africa"	"5 December 2003"
540	1252	"China Agrees Three Energy MoUs with Egypt"	"Global Insight Daily Analysis"	"20 October 2006"
542	1259	"China Agrees Three Energy MoUs with Egypt"	"Global Insight Daily Analysis"	"20 October 2006"
1361	2765	"China Agrees to Cancel Part of Tanzania's Debt"	"AsiaPort Daily News"	"19 July 2001"
2112	4127	"China Agrees to Cancel Part of Zambia's Debt."	"Xinhua News Agency"	"24 July 2001"
2117	4132	"China Agrees to Cancel Part of Zambia's Debt."	"Xinhua News Agency"	"24 July 2001"
14511	5243	"China Agrees to Cancel Part of Zambia's Debt."	"Xinhua News Agency"	"24 July 2001"
2082	4079	"China agrees to let Seychelles pay 47.5m dollar debt over 20 years"	"BBC Monitoring Africa"	"21 April 2011"
